accession_number	seq	description	document	type
0001669191-20-000004	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000004	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000004	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000004	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000013	1		primary_doc.xml	C/A
0001665160-20-000013	2		offeringmemoformc.pdf	EX-99
0001669191-20-000002	1		primary_doc.xml	C/A
0001669191-20-000002	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000002	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000002	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000002	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000002	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000002	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000002	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000002	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001797667-20-000001	1		primary_doc.xml	C
0001797667-20-000001	2	FORM C	FormC1.pdf	EX-99
0001797667-20-000001	3	BOND PROSPECTUS - DEGREES PLATO SERIES A BONDS 02-2017	BondProspectus.pdf	EX-99
0001797667-20-000001	4	BALANCE SHEET 2017	BalanceSheet2017.pdf	EX-99
0001797667-20-000001	5	BALANCE SHEET 2018	BalanceSheet2018.pdf	EX-99
0001797667-20-000001	6	BALANCE SHEET TO 31 OCT 2019	BalanceSheetasof31Oct2019.pdf	EX-99
0001797667-20-000001	7	PROFIT AND LOSS 2017	ProfitandLoss2017.pdf	EX-99
0001797667-20-000001	8	PROFIT AND LOSS 2018	ProfitandLoss2018.pdf	EX-99
0001797667-20-000001	9	PROFIT AND LOSS TO 31 OCT 2019	ProfitandLossasof31Oct2019.pdf	EX-99
0001797667-20-000001	10	OFFERING DETAILS	OfferingDetails.pdf	EX-99
0001797667-20-000001	11	LINKEDIN PROFILE 1	RichAllenLinkedIn.pdf	EX-99
0001797667-20-000001	12	LINKEDIN PROFILE 2	MercedesSperlingLinkedIn.pdf	EX-99
0001666102-20-000003	1		primary_doc.xml	C/A
0001666102-20-000003	2	FORM C - OFFERING STATEMENT	20200107_FormC.pdf	EX-99
0001665160-20-000014	1		primary_doc.xml	C-U
0001665160-20-000015	1		primary_doc.xml	C-U
0001665160-20-000016	1		primary_doc.xml	C/A
0001665160-20-000018	1		primary_doc.xml	C/A
0001665160-20-000018	2		offeringmemoformc.pdf	EX-99
0001746059-20-000001	1		primary_doc.xml	C-W
0001791279-20-000001	1		primary_doc.xml	C-U
0001791279-20-000002	1		primary_doc.xml	C-U
0001746059-20-000002	1		primary_doc.xml	C/A
0001746059-20-000002	2		foodtherapy_formca.pdf	EX-99
0001791279-20-000003	1		primary_doc.xml	C-U
0001746059-20-000003	1		primary_doc.xml	C/A
0001746059-20-000003	2		luckygoat_formca.pdf	EX-99
0001783004-20-000001	1		primary_doc.xml	C/A
0001783004-20-000001	2	FORM C/A	formcaskyhiscrub.pdf	EX-99
0001665160-20-000020	1		primary_doc.xml	C
0001665160-20-000020	2		offeringmemoformc.pdf	EX-99
0001766521-20-000001	1		primary_doc.xml	C-TR
0001665160-20-000023	1		primary_doc.xml	C/A
0001665160-20-000023	2		offeringmemoformc.pdf	EX-99
0001716822-20-000001	1		primary_doc.xml	C
0001716822-20-000001	2		sevsafe.pdf	EX-99
0001716822-20-000001	3		sevcampaign.pdf	EX-99
0001716822-20-000001	4		sevfins.pdf	EX-99
0001716822-20-000001	5		sevvideo.pdf	EX-99
0001716822-20-000001	6		sevc.pdf	EX-99
0001797667-20-000002	1		primary_doc.xml	C/A
0001797667-20-000002	2	FORM C	FormC1.pdf	EX-99
0001797667-20-000002	3	BOND PROSPECTUS - DEGREES PLATO SERIES A BONDS 02-2027	BondProspectus1.pdf	EX-99
0001797667-20-000002	4	BALANCE SHEET 2017	BalanceSheet2017.pdf	EX-99
0001797667-20-000002	5	BALANCE SHEET 2018	BalanceSheet2018.pdf	EX-99
0001797667-20-000002	6	BALANCE SHEET TO OCT 2019	BalanceSheetasof31Oct2019.pdf	EX-99
0001797667-20-000002	7	PROFIT AND LOSS 2017	ProfitandLoss2017.pdf	EX-99
0001797667-20-000002	8	PROFIT AND LOSS 2018	ProfitandLoss2018.pdf	EX-99
0001797667-20-000002	9	PROFIT AND LOSS TO OCT 2019	ProfitandLossasof31Oct2019.pdf	EX-99
0001797667-20-000002	10	OFFERING DETAILS	OfferingDetails.pdf	EX-99
0001797667-20-000002	11	LINKEDIN PROFILE 1	RichAllenLinkedIn.pdf	EX-99
0001797667-20-000002	12	LINKEDIN PROFILE 2	MercedesSperlingLinkedIn.pdf	EX-99
0001746059-20-000004	1		primary_doc.xml	C/A
0001746059-20-000004	2		workroom_offmoca.pdf	EX-99
0001746059-20-000004	3		workroom_rsnca.pdf	EX-99
0001716822-20-000003	1		primary_doc.xml	C/A
0001716822-20-000003	2		sevformca.pdf	EX-99
0001791548-20-000001	1		primary_doc.xml	C
0001791548-20-000001	2	FORM C	formcnaturalselect.pdf	EX-99
0001665160-20-000025	1		primary_doc.xml	C/A
0001665160-20-000025	2		offeringmemoformc.pdf	EX-99
0001752109-20-000002	1		primary_doc.xml	C/A
0001752109-20-000002	2	MEMO	Memo.pdf	EX-99
0001665160-20-000028	1		primary_doc.xml	C
0001665160-20-000028	2		offeringmemoformc.pdf	EX-99
0001669191-20-000006	1		primary_doc.xml	C
0001669191-20-000006	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000006	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000006	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000006	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000006	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000006	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000006	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000006	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000006	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000006	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000006	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000006	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001799343-20-000001	1		primary_doc.xml	C
0001799343-20-000001	2	OFFERING STATEMENT	formcgobuddha.pdf	EX-99
0001797667-20-000003	1		primary_doc.xml	C/A
0001797667-20-000003	2	FORM C/A	FormC1.pdf	EX-99
0001797667-20-000003	3	BOND PROSPECTUS - DEGREES PLATO SERIES A BONDS 02-2027	BondProspectus2.pdf	EX-99
0001797667-20-000003	4	BALANCE SHEET 2017	BalanceSheet2017.pdf	EX-99
0001797667-20-000003	5	BALANCE SHEET 2018	BalanceSheet2018.pdf	EX-99
0001797667-20-000003	6	BALANCE SHEET TO OCT 2019	BalanceSheetasof31Oct2019.pdf	EX-99
0001797667-20-000003	7	PROFIT AND LOSS 2017	ProfitandLoss2017.pdf	EX-99
0001797667-20-000003	8	PROFIT AND LOSS 2018	ProfitandLoss2018.pdf	EX-99
0001797667-20-000003	9	PROFIT AND LOSS TO OCT 2019	ProfitandLossasof31Oct2019.pdf	EX-99
0001797667-20-000003	10	OFFERING DETAILS	OfferingDetails.pdf	EX-99
0001797667-20-000003	11	LINKEDIN PROFILE 1	RichAllenLinkedIn.pdf	EX-99
0001797667-20-000003	12	LINKEDIN PROFILE 2	MercedesSperlingLinkedIn.pdf	EX-99
0001670254-20-000004	1		primary_doc.xml	C
0001670254-20-000004	2		document_1.pdf	EX-99
0001670254-20-000004	3		document_2.pdf	EX-99
0001670254-20-000004	4		document_3.pdf	EX-99
0001670254-20-000004	5		document_4.pdf	EX-99
0001670254-20-000004	6		document_5.pdf	EX-99
0001670254-20-000004	7		document_6.pdf	EX-99
0001670254-20-000004	8		document_7.pdf	EX-99
0001670254-20-000004	9		documents_list.htm	EX-99
0001670254-20-000006	1		primary_doc.xml	C
0001670254-20-000006	2		document_1.pdf	EX-99
0001670254-20-000006	3		document_2.pdf	EX-99
0001670254-20-000006	4		document_3.pdf	EX-99
0001670254-20-000006	5		document_4.pdf	EX-99
0001670254-20-000006	6		document_5.pdf	EX-99
0001670254-20-000006	7		document_6.pdf	EX-99
0001670254-20-000006	8		document_7.pdf	EX-99
0001670254-20-000006	9		document_8.pdf	EX-99
0001670254-20-000006	10		documents_list.htm	EX-99
0001665160-20-000029	1		primary_doc.xml	C/A
0001665160-20-000030	1		primary_doc.xml	C/A
0001665160-20-000031	1		primary_doc.xml	C-U
0001665160-20-000033	1		primary_doc.xml	C
0001665160-20-000033	2		offeringmemoformc.pdf	EX-99
0001716822-20-000004	1		primary_doc.xml	C/A
0001716822-20-000004	2		seventyca.pdf	EX-99
0001716822-20-000004	3		seventysafefinal.pdf	EX-99
0001715013-20-000001	1		primary_doc.xml	C-TR
0001732447-20-000001	1		primary_doc.xml	C-TR
0001765975-20-000001	1		primary_doc.xml	C/A
0001765975-20-000001	2		dspattersonca.pdf	EX-99
0001765975-20-000002	1		primary_doc.xml	C/A
0001765975-20-000002	2		ppcomps.jpg	GRAPHIC
0001790166-20-000001	1		primary_doc.xml	C
0001790166-20-000001	2	COMPOUNDPROJFORMC	formcfinal.pdf	EX-99
0001665160-20-000034	1		primary_doc.xml	C/A
0001665160-20-000035	1		primary_doc.xml	C/A
0001775091-20-000001	1		primary_doc.xml	C/A
0001669191-20-000008	1		primary_doc.xml	C/A
0001669191-20-000008	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000008	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000008	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000008	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000008	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000008	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000008	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000010	1		primary_doc.xml	C/A
0001669191-20-000010	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000010	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000010	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000010	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000010	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000010	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000010	8	CPA AUDIT REPORT	auditreport.pdf	EX-99
0001669191-20-000010	9	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000010	10	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000010	11	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000010	12	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000010	13	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000010	14	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000012	1		primary_doc.xml	C/A
0001669191-20-000012	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000012	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000012	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000012	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000012	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000012	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000012	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000012	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001793344-20-000007	1		primary_doc.xml	C
0001793344-20-000007	2	FORM C	vivooformc01142020.pdf	EX-99
0001793344-20-000008	1		primary_doc.xml	C
0001793344-20-000008	2	PISTILPOLLENFORMC	pistilpollenformc.pdf	EX-99
0001746059-20-000005	1		primary_doc.xml	C
0001746059-20-000005	2		cooksfarmers_offmo.pdf	EX-99
0001746059-20-000005	3		cooksfarmers_appa.pdf	EX-99
0001746059-20-000005	4		cooksfarmers_appb.pdf	EX-99
0001746059-20-000005	5		cooksfarmers_noteagmt.pdf	EX-99
0001746059-20-000005	6		cooksfarmers_page.jpg	GRAPHIC
0001787023-20-000001	1		primary_doc.xml	C/A
0001746059-20-000006	1		primary_doc.xml	C
0001746059-20-000006	2		mangobh_offmo.pdf	EX-99
0001746059-20-000006	3		mangobh_appa.pdf	EX-99
0001746059-20-000006	4		mangobh_appb.pdf	EX-99
0001746059-20-000006	5		mangobh_noteagmt.pdf	EX-99
0001746059-20-000006	6		mangobh_page.jpg	GRAPHIC
0001706937-20-000005	1		primary_doc.xml	C-AR
0001706937-20-000005	2		FormC-AR.pdf	EX-99
0001797650-20-000001	1		primary_doc.xml	C/A
0001797650-20-000001	2	EXHIBITCFINANCIALS	financials.pdf	EX-99
0001797650-20-000001	3	EXHIBITESECURITY	security.pdf	EX-99
0001797650-20-000001	4	EXHIBITDOFFERINGPAGE	offeringpage.pdf	EX-99
0001797650-20-000001	5	WOOFYFORMCA	woofyformca.pdf	EX-99
0001706937-20-000006	1		primary_doc.xml	C/A
0001706937-20-000006	2		formC-A.pdf	EX-99
0001706937-20-000008	1		primary_doc.xml	C-AR/A
0001706937-20-000008	2		formcara.pdf	EX-99
0001665160-20-000038	1		primary_doc.xml	C/A
0001665160-20-000038	2		offeringmemoformc.pdf	EX-99
0001665160-20-000040	1		primary_doc.xml	C/A
0001665160-20-000040	2		offeringmemoformc.pdf	EX-99
0001665160-20-000041	1		primary_doc.xml	C/A
0001706937-20-000009	1		primary_doc.xml	C
0001706937-20-000009	2		wherebyform-C.pdf	EX-99
0001746059-20-000007	1		primary_doc.xml	C/A
0001746059-20-000007	2		clickit_offmoca.pdf	EX-99
0001746059-20-000008	1		primary_doc.xml	C/A
0001746059-20-000008	2		tespa_formca.pdf	EX-99
0001798376-20-000001	1		primary_doc.xml	C
0001798376-20-000001	2		shars_formc.pdf	EX-99
0001792640-20-000001	1		primary_doc.xml	C/A
0001792640-20-000001	2	FLOWERBEE OFFERING STATEMENT	flowerbeeos20200115.pdf	EX-99
0001746059-20-000009	1		primary_doc.xml	C
0001746059-20-000009	2		chivanada_offmem.pdf	EX-99
0001746059-20-000009	3		chivanada_appxa.pdf	EX-99
0001746059-20-000009	4		chivanada_appxb.pdf	EX-99
0001746059-20-000009	5		chivanada_iagmt.pdf	EX-99
0001746059-20-000009	6		chivanada_vidt.pdf	EX-99
0001746059-20-000009	7		chivanada_page.jpg	GRAPHIC
0001746059-20-000010	1		primary_doc.xml	C
0001746059-20-000010	2		nakedriver_offmo.pdf	EX-99
0001746059-20-000010	3		nakedriver_appxa.pdf	EX-99
0001746059-20-000010	4		nakedriver_appxb.pdf	EX-99
0001746059-20-000010	5		nakedriver_iagmt.pdf	EX-99
0001746059-20-000010	6		nakedriver_page.jpg	GRAPHIC
0001746059-20-000012	1		primary_doc.xml	C
0001746059-20-000012	2		mbrew_offmo.pdf	EX-99
0001746059-20-000012	3		mbrew_appxa.pdf	EX-99
0001746059-20-000012	4		mbrew_appxb.pdf	EX-99
0001746059-20-000012	5		mbrew_iagmt.pdf	EX-99
0001746059-20-000012	6		mbrew_page.jpg	GRAPHIC
0001746059-20-000014	1		primary_doc.xml	C
0001746059-20-000014	2		otto_offmem.pdf	EX-99
0001746059-20-000014	3		otto_appxa.pdf	EX-99
0001746059-20-000014	4		otto_appxb.pdf	EX-99
0001746059-20-000014	5		otto_iagmt.pdf	EX-99
0001746059-20-000014	6		otto_page.jpg	GRAPHIC
0001746059-20-000015	1		primary_doc.xml	C
0001746059-20-000015	2		tempo_offmo.pdf	EX-99
0001746059-20-000015	3		tempo_appxa.pdf	EX-99
0001746059-20-000015	4		tempo_appxb.pdf	EX-99
0001746059-20-000015	5		tempo_iagmt.pdf	EX-99
0001746059-20-000015	6		tempo_page.jpg	GRAPHIC
0001791747-20-000001	1		primary_doc.xml	C-U
0001788657-20-000001	1		primary_doc.xml	C/A
0001788657-20-000001	2	FLOWH OFFERING STATEMENT	flowhos20200116.pdf	EX-99
0001581437-20-000001	1		primary_doc.xml	C-U
0001800155-20-000001	1		primary_doc.xml	C
0001800155-20-000001	2	OFFERING STATEMENT	formcsnw.pdf	EX-99
0001792930-20-000001	1		primary_doc.xml	C/A
0001792930-20-000001	2		formcapadlist.pdf	EX-99
0001793868-20-000001	1		primary_doc.xml	C/A
0001798823-20-000001	1		primary_doc.xml	C
0001798823-20-000001	2	OFFERING STATEMENT	formcwinecollective.pdf	EX-99
0001669191-20-000014	1		primary_doc.xml	C
0001669191-20-000014	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000014	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000014	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000014	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000014	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000014	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000014	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000014	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000014	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000014	11	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000014	12	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000043	1		primary_doc.xml	C/A
0001665160-20-000043	2		offeringmemoformc.pdf	EX-99
0001668287-20-000001	1		primary_doc.xml	C-W
0001668287-20-000002	1		primary_doc.xml	C-W
0001665160-20-000044	1		primary_doc.xml	C/A
0001665160-20-000045	1		primary_doc.xml	C-U
0001746059-20-000016	1		primary_doc.xml	C-U
0001669191-20-000017	1		primary_doc.xml	C/A
0001669191-20-000017	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000017	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000017	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000017	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000017	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000017	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000017	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000017	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000017	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000017	11	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000017	12	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001670254-20-000014	1		primary_doc.xml	C
0001670254-20-000014	2		document_1.pdf	EX-99
0001670254-20-000014	3		document_2.pdf	EX-99
0001670254-20-000014	4		document_3.pdf	EX-99
0001670254-20-000014	5		document_4.pdf	EX-99
0001670254-20-000014	6		document_5.pdf	EX-99
0001670254-20-000014	7		document_6.pdf	EX-99
0001670254-20-000014	8		document_7.pdf	EX-99
0001670254-20-000014	9		document_8.pdf	EX-99
0001670254-20-000014	10		document_9.pdf	EX-99
0001670254-20-000014	11		document_10.pdf	EX-99
0001670254-20-000014	12		documents_list.htm	EX-99
0001670254-20-000016	1		primary_doc.xml	C
0001670254-20-000016	2		document_1.pdf	EX-99
0001670254-20-000016	3		document_2.pdf	EX-99
0001670254-20-000016	4		document_3.pdf	EX-99
0001670254-20-000016	5		document_4.pdf	EX-99
0001670254-20-000016	6		document_5.pdf	EX-99
0001670254-20-000016	7		document_6.pdf	EX-99
0001670254-20-000016	8		document_7.pdf	EX-99
0001670254-20-000016	9		document_8.pdf	EX-99
0001670254-20-000016	10		document_9.pdf	EX-99
0001670254-20-000016	11		document_10.pdf	EX-99
0001670254-20-000016	12		document_11.pdf	EX-99
0001670254-20-000016	13		documents_list.htm	EX-99
0001670254-20-000039	1		primary_doc.xml	C
0001670254-20-000039	2		document_1.pdf	EX-99
0001670254-20-000039	3		document_2.pdf	EX-99
0001670254-20-000039	4		document_3.pdf	EX-99
0001670254-20-000039	5		document_4.pdf	EX-99
0001670254-20-000039	6		document_5.pdf	EX-99
0001670254-20-000039	7		document_6.pdf	EX-99
0001670254-20-000039	8		document_7.pdf	EX-99
0001670254-20-000039	9		document_8.pdf	EX-99
0001670254-20-000039	10		document_9.pdf	EX-99
0001670254-20-000039	11		document_10.pdf	EX-99
0001670254-20-000039	12		documents_list.htm	EX-99
0001796828-20-000002	1		primary_doc.xml	C/A
0001796828-20-000002	2	MEMO	memo.pdf	EX-99
0001796828-20-000002	3	FINANCIAL	financial.pdf	EX-99
0001796828-20-000002	4	OPERATING	Operating.pdf	EX-99
0001670254-20-000021	1		primary_doc.xml	C
0001670254-20-000021	2		document_1.pdf	EX-99
0001670254-20-000021	3		document_2.pdf	EX-99
0001670254-20-000021	4		document_3.pdf	EX-99
0001670254-20-000021	5		document_4.pdf	EX-99
0001670254-20-000021	6		document_5.pdf	EX-99
0001670254-20-000021	7		document_6.pdf	EX-99
0001670254-20-000021	8		document_7.pdf	EX-99
0001670254-20-000021	9		document_8.pdf	EX-99
0001670254-20-000021	10		document_9.pdf	EX-99
0001670254-20-000021	11		document_10.pdf	EX-99
0001670254-20-000021	12		documents_list.htm	EX-99
0001670254-20-000026	1		primary_doc.xml	C
0001670254-20-000026	2		document_1.pdf	EX-99
0001670254-20-000026	3		document_2.pdf	EX-99
0001670254-20-000026	4		document_3.pdf	EX-99
0001670254-20-000026	5		document_4.pdf	EX-99
0001670254-20-000026	6		document_5.pdf	EX-99
0001670254-20-000026	7		document_6.pdf	EX-99
0001670254-20-000026	8		document_7.pdf	EX-99
0001670254-20-000026	9		document_8.pdf	EX-99
0001670254-20-000026	10		document_9.pdf	EX-99
0001670254-20-000026	11		document_10.pdf	EX-99
0001670254-20-000026	12		document_11.pdf	EX-99
0001670254-20-000026	13		document_12.pdf	EX-99
0001670254-20-000026	14		document_13.pdf	EX-99
0001670254-20-000026	15		document_14.pdf	EX-99
0001670254-20-000026	16		document_15.pdf	EX-99
0001670254-20-000026	17		document_16.pdf	EX-99
0001670254-20-000026	18		document_17.pdf	EX-99
0001670254-20-000026	19		documents_list.htm	EX-99
0001670254-20-000041	1		primary_doc.xml	C
0001670254-20-000041	2		document_1.pdf	EX-99
0001670254-20-000041	3		document_2.pdf	EX-99
0001670254-20-000041	4		document_3.pdf	EX-99
0001670254-20-000041	5		document_4.pdf	EX-99
0001670254-20-000041	6		document_5.pdf	EX-99
0001670254-20-000041	7		document_6.pdf	EX-99
0001670254-20-000041	8		document_7.pdf	EX-99
0001670254-20-000041	9		document_8.pdf	EX-99
0001670254-20-000041	10		document_9.pdf	EX-99
0001670254-20-000041	11		documents_list.htm	EX-99
0001670254-20-000048	1		primary_doc.xml	C
0001670254-20-000048	2		document_1.pdf	EX-99
0001670254-20-000048	3		document_2.pdf	EX-99
0001670254-20-000048	4		document_3.pdf	EX-99
0001670254-20-000048	5		document_4.pdf	EX-99
0001670254-20-000048	6		document_5.pdf	EX-99
0001670254-20-000048	7		document_6.pdf	EX-99
0001670254-20-000048	8		document_7.pdf	EX-99
