accession_number	id	personSignature	personTitle	signatureDate
0001746059-20-000001	5010266	Nassy Mornaghi	Owner and Founder	2020-01-07 00:00:00.0
0001791279-20-000001	5010267	Jacqueline Schoedel	Co-Owner	2020-01-07 00:00:00.0
0001791279-20-000002	5010295	Carmen Swasey	Owner	2020-01-07 00:00:00.0
0001746059-20-000002	5010268	Adam Davis	Owner and Founder	2020-01-07 00:00:00.0
0001791279-20-000003	5010296	Katherine Schuler	Owner	2020-01-07 00:00:00.0
0001746059-20-000003	5010297	Kendall Peabody	Owner and CoFounder	2020-01-07 00:00:00.0
0001746059-20-000003	5010298	Caitlin Hurd	Owner and CoFounder	2020-01-07 00:00:00.0
0001746059-20-000003	5010299	Aaron Perry	Owner and CoFounder	2020-01-07 00:00:00.0
0001783004-20-000001	5010270	/s/ Rama Poola	Director	2020-01-07 00:00:00.0
0001783004-20-000001	5010271	/s/ Vivek Poola	Director	2020-01-07 00:00:00.0
0001665160-20-000020	5010269	Davie Bean	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-07 00:00:00.0
0001766521-20-000001	5010300	/s/Philip Shen	Chief Executive Officer	2020-01-07 00:00:00.0
0001766521-20-000001	5010301	/s/Philip Shen	Chief Executive Officer of PYS Associates, LLC, its Manager	2020-01-07 00:00:00.0
0001766521-20-000001	5010302	/s/Larry Deville	Chief Operating Officer	2020-01-07 00:00:00.0
0001665160-20-000023	5010272	Davie Bean	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-08 00:00:00.0
0001716822-20-000001	5010273	s/ Richard Bronson	CEO, Director	2020-01-08 00:00:00.0
0001797667-20-000002	5010314	Richard Allen	Co-Owner	2020-01-08 00:00:00.0
0001746059-20-000004	5010303	Ahfeeyah Thomas	Owner and Founder	2020-01-08 00:00:00.0
0001716822-20-000003	5010304	/s/ Richard Bronson	CEO, Director	2020-01-08 00:00:00.0
0001791548-20-000001	5010315	Naomi Victoria Chavez	Manager and Head of Operations	2020-01-09 00:00:00.0
0001791548-20-000001	5010316	Adriana Grow	Manager and Secretary	2020-01-09 00:00:00.0
0001791548-20-000001	5010317	Alexander Grow	Manager and CEO	2020-01-09 00:00:00.0
0001665160-20-000025	5010305	Victoria Pasche	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-09 00:00:00.0
0001665160-20-000025	5010306	Charisse Pasche	President, Secretary and Director	2020-01-09 00:00:00.0
0001752109-20-000002	5010318	Ena Jones	President/CEO	2020-01-09 00:00:00.0
0001665160-20-000028	5010308	Bryan Pate	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-09 00:00:00.0
0001669191-20-000006	5010319	John McMillian	Principal Executive Officer	2020-01-09 00:00:00.0
0001669191-20-000006	5010320	Normand Rheault	Principal Financial Officer	2020-01-09 00:00:00.0
0001669191-20-000006	5010321	Carrie Fair	Principal Accounting Officer	2020-01-09 00:00:00.0
0001669191-20-000006	5010322	Normand Rheault	Board Member	2020-01-09 00:00:00.0
0001669191-20-000006	5010323	John McMillian	Board Member	2020-01-09 00:00:00.0
0001669191-20-000006	5010324	Carrie Fair	Board Member	2020-01-09 00:00:00.0
0001799343-20-000001	5010307	Joshua Ingraham	Owner/Chef	2020-01-09 00:00:00.0
0001797667-20-000003	5010325	Richard Allen	Co-Owner	2020-01-09 00:00:00.0
0001670254-20-000004	5010326	Tom Mccabe	Managing Partner / CFO / Executive Producer	2020-01-08 00:00:00.0
0001670254-20-000004	5010327	Gary Brackett	CEO	2020-01-08 00:00:00.0
0001670254-20-000006	5010328	Margo Jordan-Baines	Founder	2019-12-19 00:00:00.0
0001665160-20-000029	5010329	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-10 00:00:00.0
0001665160-20-000030	5010330	Patrick Sherwin	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-10 00:00:00.0
0001665160-20-000031	5010309	Emmanuel Umoh	CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer	2020-01-10 00:00:00.0
0001665160-20-000033	5010331	Marty Reed	CEO, Founder, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-10 00:00:00.0
0001665160-20-000033	5010332	Lyden Henderson	Chief Operating Officer, Cofounder, and Treasurer of the Board	2020-01-10 00:00:00.0
0001665160-20-000033	5010333	Greg Haap	General Manager, Cofounder, and Secretary of the Board	2020-01-10 00:00:00.0
0001716822-20-000004	5010310	/s/ Richard Bronson	CEO, Director	2020-01-10 00:00:00.0
0001715013-20-000001	5010311	Shaun Masavage	CEO	2020-01-13 00:00:00.0
0001732447-20-000001	5010312	Michael Hoffman	Secretary	2020-01-12 00:00:00.0
0001765975-20-000001	5010334	David Brendan Murphy	Manager	2020-01-13 00:00:00.0
0001765975-20-000001	5010335	Amos Lonnie Schiller	Manager	2020-01-13 00:00:00.0
0001765975-20-000002	5010336	David Brendan Murphy	Manager	2020-01-13 00:00:00.0
0001765975-20-000002	5010337	Amos Lonnie Schiller	Manager	2020-01-13 00:00:00.0
0001790166-20-000001	5010313	Janine Yorio	Chief Executive Officer, Manager	2020-01-13 00:00:00.0
0001665160-20-000034	5010354	Matt Eau Claire	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-13 00:00:00.0
0001665160-20-000035	5010338	Diana Sabacinski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-13 00:00:00.0
0001775091-20-000001	5010339	Willard L. Jackson Jr., by Sean Fuellhart POA	CEO	2020-01-13 00:00:00.0
0001669191-20-000008	5010355	Benjamin White	Principal Executive Officer	2020-01-14 00:00:00.0
0001669191-20-000008	5010356	Benjamin White	Principal Financial Officer	2020-01-14 00:00:00.0
0001669191-20-000008	5010357	Benjamin White	Principal Accounting Officer	2020-01-14 00:00:00.0
0001669191-20-000008	5010358	Benjamin White	Board Member	2020-01-14 00:00:00.0
0001669191-20-000010	5010340	John Clark	Principal Executive Officer	2020-01-14 00:00:00.0
0001669191-20-000010	5010341	John Clark	Principal Financial Officer	2020-01-14 00:00:00.0
0001669191-20-000010	5010342	John Clark	Principal Accounting Officer	2020-01-14 00:00:00.0
0001669191-20-000010	5010343	John Clark	Board Member	2020-01-14 00:00:00.0
0001669191-20-000012	5010359	Nikolaos Tezapsidis	Principal Executive Officer	2020-01-14 00:00:00.0
0001669191-20-000012	5010360	James Harris	Principal Financial Officer	2020-01-14 00:00:00.0
0001669191-20-000012	5010361	James Harris	Principal Accounting Officer	2020-01-14 00:00:00.0
0001669191-20-000012	5010362	Nikolaos Tezapsidis	Board Member	2020-01-14 00:00:00.0
0001669191-20-000012	5010363	James Harris	Board Member	2020-01-14 00:00:00.0
0001669191-20-000012	5010364	Bob Oliver	Board Member	2020-01-14 00:00:00.0
0001669191-20-000012	5010365	Thomas Humphries	Board Member	2020-01-14 00:00:00.0
0001669191-20-000012	5010366	George Perry	Board Member	2020-01-14 00:00:00.0
0001793344-20-000007	5010367	Miray Tayfun	CEO, Director	2020-01-14 00:00:00.0
0001793344-20-000007	5010368	Gozde Buyukacaroglu	Director	2020-01-14 00:00:00.0
0001793344-20-000008	5010344	Amy Dannemiller	Manager	2020-01-14 00:00:00.0
0001793344-20-000008	5010345	Scot Crow	Manager	2020-01-14 00:00:00.0
0001746059-20-000005	5010346	Michael Arrington	Owner and Founder	2020-01-14 00:00:00.0
0001787023-20-000001	5010347	Stephanie Bryan	CEO	2020-01-14 00:00:00.0
0001746059-20-000006	5010348	Monica Wright	Owner and Founder	2020-01-14 00:00:00.0
0001706937-20-000005	5010349	Christopher Sopher	CEO, President, Director	2020-01-14 00:00:00.0
0001797650-20-000001	5010350	Arjun Rai	President, Director	2020-01-14 00:00:00.0
0001706937-20-000006	5010369	Brittany Boeckle	Co-President, Secretary, Director	2020-01-14 00:00:00.0
0001706937-20-000006	5010370	Ryan Queen	Co-President, Treasurer, Director	2020-01-14 00:00:00.0
0001706937-20-000008	5010351	Christopher Sopher	CEO, President, Director	2020-01-14 00:00:00.0
0001706937-20-000008	5010352	Rebekah Monson	COO, Treasurer, Director	2020-01-14 00:00:00.0
0001706937-20-000008	5010353	Bruce Pinchbeck	Chief Creative Officer, Secretary, Director	2020-01-14 00:00:00.0
0001665160-20-000038	5010374	Andrew Ochoa	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-15 00:00:00.0
0001665160-20-000040	5010375	Carlo Brovero	CEO, President, Chief Executive Officer, Treasurer, Principal Financial Officer and Principal Accounting Officer	2020-01-15 00:00:00.0
0001665160-20-000040	5010376	Angelo D'Anzi	CTO	2020-01-15 00:00:00.0
0001665160-20-000040	5010377	Gabriele Colombo	Secretary	2020-01-15 00:00:00.0
0001665160-20-000041	5010378	Carlo Brovero	CEO, President, Chief Executive Officer, Treasurer, Principal Financial Officer and Principal Accounting Officer	2020-01-15 00:00:00.0
0001665160-20-000041	5010379	Angelo D'Anzi	CTO	2020-01-15 00:00:00.0
0001665160-20-000041	5010380	Gabriele Colombo	Secretary	2020-01-15 00:00:00.0
0001706937-20-000009	5010381	Christopher Sopher	CEO, President, Director	2020-01-15 00:00:00.0
0001706937-20-000009	5010382	Rebekah Monson	COO, Treasurer, Director	2020-01-15 00:00:00.0
0001706937-20-000009	5010383	Bruce Pinchbeck	Chief Creative Officer, Secretary, Director	2020-01-15 00:00:00.0
0001746059-20-000007	5010384	Albert Harlow	Owner and Founder	2020-01-15 00:00:00.0
0001746059-20-000008	5010386	Alexis Jones	Founder & CEO	2020-01-15 00:00:00.0
0001798376-20-000001	5010387	Gregory Reaves	Co-manager of manager, Sharswood 1 SPNSRS,LLC	2020-01-15 00:00:00.0
0001792640-20-000001	5010385	Jonathan Macri by Sean Fuellhart POA	CEO	2020-01-15 00:00:00.0
0001746059-20-000009	5010388	Daniel Yarzagaray	Owner and CoFounder	2020-01-16 00:00:00.0
0001746059-20-000010	5010389	Robert Raulston	Owner and Founder	2020-01-16 00:00:00.0
0001746059-20-000012	5010408	Tayo Bailey-Duvall	Owner and Founder	2020-01-16 00:00:00.0
0001746059-20-000014	5010390	Louisa Green	Owner and Founder	2020-01-16 00:00:00.0
0001746059-20-000015	5010391	Javier Solis	Owner and CoFounder	2020-01-16 00:00:00.0
0001791747-20-000001	5010409	/s/ Obi Onyejekwe	CEO	2020-01-16 00:00:00.0
0001788657-20-000001	5010392	Eric Darst	CEO	2020-01-16 00:00:00.0
0001581437-20-000001	5010410	H. Jacob Hanchar	Chief Executive Officer, Managing Member	2020-01-16 00:00:00.0
0001800155-20-000001	5010393	Valarie Ross	Co-Owner	2020-01-16 00:00:00.0
0001792930-20-000001	5010394	Blake Van Leer	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2020-01-16 00:00:00.0
0001792930-20-000001	5010395	Lindsay Van Leer	COO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2020-01-16 00:00:00.0
0001793868-20-000001	5010411	Nicholas Weiss	Co-Owner	2020-01-17 00:00:00.0
0001798823-20-000001	5010396	Enrique Pallares	Co-Owner	2020-01-17 00:00:00.0
0001669191-20-000014	5010397	LaToya Johnson	Principal Executive Officer	2020-01-17 00:00:00.0
0001669191-20-000014	5010398	LaToya Johnson	Principal Financial Officer	2020-01-17 00:00:00.0
0001669191-20-000014	5010399	LaToya Johnson	Principal Accounting Officer	2020-01-17 00:00:00.0
0001669191-20-000014	5010400	Lisa  Scott	Board Member	2020-01-17 00:00:00.0
0001669191-20-000014	5010401	LaToya Johnson	Board Member	2020-01-17 00:00:00.0
0001669191-20-000014	5010402	NaShara  Mitchell	Board Member	2020-01-17 00:00:00.0
0001669191-20-000014	5010403	Kelli  Jones	Board Member	2020-01-17 00:00:00.0
0001665160-20-000043	5010412	Mark Hanchett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-17 00:00:00.0
0001668287-20-000001	5010404	Paul Lobel	CEO	2020-01-17 00:00:00.0
0001668287-20-000002	5010413	Yannis Moati	CEO	2020-01-17 00:00:00.0
0001665160-20-000044	5010405	Eric Ralls	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-17 00:00:00.0
0001665160-20-000045	5010406	Joshua Resnick	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-17 00:00:00.0
0001746059-20-000016	5010414	Jacqueline Field	Owner and Founder	2020-01-17 00:00:00.0
0001669191-20-000017	5010415	LaToya Johnson	Principal Executive Officer	2020-01-17 00:00:00.0
0001669191-20-000017	5010416	LaToya Johnson	Principal Financial Officer	2020-01-17 00:00:00.0
0001669191-20-000017	5010417	LaToya Johnson	Principal Accounting Officer	2020-01-17 00:00:00.0
0001669191-20-000017	5010418	Lisa  Scott	Board Member	2020-01-17 00:00:00.0
0001669191-20-000017	5010419	LaToya Johnson	Board Member	2020-01-17 00:00:00.0
0001669191-20-000017	5010420	NaShara  Mitchell	Board Member	2020-01-17 00:00:00.0
0001669191-20-000017	5010421	Kelli  Jones	Board Member	2020-01-17 00:00:00.0
0001670254-20-000014	5010422	Shaan Jivan Coelho	COO	2020-01-16 00:00:00.0
0001670254-20-000014	5010423	Luke Kingma	CFO	2020-01-16 00:00:00.0
0001670254-20-000014	5010424	Daryn Hillhouse	Co-Founder & CEO	2020-01-16 00:00:00.0
0001670254-20-000016	5010407	Dink Davis	Founder/Partner	2020-01-17 00:00:00.0
0001670254-20-000016	5010428	Kevin M Shea	Founder / Chairman	2020-01-17 00:00:00.0
0001670254-20-000016	5010429	Rock Robinson	CEO	2020-01-17 00:00:00.0
0001670254-20-000039	5010438	Geiszel Godoy	CFO	2020-01-17 00:00:00.0
0001670254-20-000039	5010439	Manuel Godoy	CEO	2020-01-15 00:00:00.0
0001796828-20-000002	5010430	Chris Senegal	President/CEO	2020-01-17 00:00:00.0
0001670254-20-000021	5010433	Emmanuel Lopez	Secretary	2020-01-14 00:00:00.0
0001670254-20-000021	5010434	Eric Tseng	COO / Treasurer	2020-01-14 00:00:00.0
0001670254-20-000021	5010435	Jesse Nunez	Founder / Executive Producer, Marine Corps Veteran	2020-01-14 00:00:00.0
0001670254-20-000026	5010436	Robert S. Whitehair	CEO	2020-01-15 00:00:00.0
0001670254-20-000026	5010437	Alexander Finden	Co-Founder, COO	2020-01-15 00:00:00.0
0001670254-20-000041	5010440	Arash Dabestani	Officer	2019-12-18 00:00:00.0
0001670254-20-000041	5010441	Amir Alemzadeh	M.D.	2019-12-18 00:00:00.0
0001670254-20-000041	5010442	Abbas Bayat	Founder, CEO	2019-12-18 00:00:00.0
0001670254-20-000048	5010443	Robert Jordan Hall	Executive Chairman	2020-01-17 00:00:00.0
0001670254-20-000048	5010444	Shawn Ramer	Senior Vice President	2020-01-16 00:00:00.0
0001670254-20-000048	5010445	Hakan Lindskog	COO	2020-01-16 00:00:00.0
0001670254-20-000048	5010446	Mark How	CRO	2020-01-16 00:00:00.0
0001670254-20-000048	5010447	James Schmachtenberger	CEO	2020-01-16 00:00:00.0
0001670254-20-000046	5010426	Jennifer Cummins	Founder & CMO	2020-01-17 00:00:00.0
0001670254-20-000046	5010427	Christopher Cummins	Founder & CEO	2020-01-17 00:00:00.0
0001670254-20-000046	5010448	Christopher Jane	Founder & CEO	2020-01-17 00:00:00.0
0001670254-20-000046	5010449	Christopher Jane	Founder & CEO	2020-01-17 00:00:00.0
0001670254-20-000019	5010431	Eshed Doni	CEO and Founder	2020-01-14 00:00:00.0
0001784247-20-000002	5010432	John Whatley	President/CEO	2020-01-17 00:00:00.0
0001670254-20-000036	5010425	Alex Pierson	Managing Member	2020-01-16 00:00:00.0
0001665160-20-000046	5010468	Dele Atanda	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-21 00:00:00.0
0001783580-20-000001	5010450	Alex Wang	Chief Executive Officer, Director	2020-01-21 00:00:00.0
0001783580-20-000001	5010451	Guillaume Torche	Chief Technology Officer, Director	2020-01-21 00:00:00.0
0001783580-20-000001	5010452	Mario Lazaro	Chief Information Officer, Director	2020-01-21 00:00:00.0
0001783580-20-000002	5010469	Alex Wang	Chief Executive Officer, Director	2020-01-21 00:00:00.0
0001783580-20-000002	5010470	Guillaume Torche	Chief Technology Officer, Director	2020-01-21 00:00:00.0
0001783580-20-000002	5010471	Mario Lazaro	Chief Information Officer, Director	2020-01-21 00:00:00.0
0001780439-20-000001	5010472	Terri Louise Bricker	President	2020-01-21 00:00:00.0
0001748372-20-000002	5010473	Carlos Ventura	CEO	2019-12-31 00:00:00.0
0001736423-20-000005	5010453	Anum Hussain	CEO & Director	2020-01-22 00:00:00.0
0001736423-20-000005	5010454	Vivian Diep	CTO & Director	2020-01-22 00:00:00.0
0001668287-20-000003	5010455	Paul Lobel	CEO & President	2020-01-22 00:00:00.0
0001755767-20-000001	5010456	Al Mughairy by Sean Fuellhart POA	CEO	2020-01-22 00:00:00.0
0001704205-20-000001	5010474	Kirk Kjellberg	CEO	2020-01-22 00:00:00.0
0001670254-20-000050	5010475	Christen Allen	Board member	2020-01-21 00:00:00.0
0001670254-20-000050	5010476	Paul Allen	Founder and CEO	2020-01-21 00:00:00.0
0001670254-20-000053	5010477	John A Perez	CEO & Chairman	2020-01-22 00:00:00.0
0001670254-20-000053	5010478	Gretel Camacho	CFO	2020-01-22 00:00:00.0
0001670254-20-000053	5010479	Carlos M. Garcia	Partner	2020-01-22 00:00:00.0
0001670254-20-000053	5010480	John A Perez	CEO	2020-01-22 00:00:00.0
0001670254-20-000053	5010481	Brac Greer	Board Member	2020-01-22 00:00:00.0
0001670254-20-000053	5010482	Richard Ray	Board Member	2020-01-22 00:00:00.0
0001774858-20-000001	5010483	Anthony Livadas	COO	2020-01-23 00:00:00.0
0001746059-20-000017	5010457	Layla-Joy Williams	Founder & CEO	2020-01-23 00:00:00.0
0001746059-20-000018	5010458	Andrew Jerry	Founder	2020-01-23 00:00:00.0
0001791558-20-000001	5010459	Eric Earnest	Owner	2020-01-23 00:00:00.0
0001791558-20-000002	5010460	Philip Knight	Owner	2020-01-23 00:00:00.0
0001791558-20-000003	5010484	Craig Cozza	Owner	2020-01-23 00:00:00.0
0001791558-20-000004	5010485	Jason Philips	Member	2020-01-23 00:00:00.0
0001791558-20-000005	5010461	Ken Shields	Owner	2020-01-23 00:00:00.0
0001791558-20-000006	5010462	Karl Horn	Owner	2020-01-23 00:00:00.0
0001791558-20-000007	5010463	Nohra Murad	Owner	2020-01-23 00:00:00.0
0001746059-20-000019	5010464	Samson Romeo Regalli	Owner and CoFounder	2020-01-23 00:00:00.0
0001670254-20-000055	5010486	David Shahan	Founder / CEO	2020-01-22 00:00:00.0
0001700943-20-000001	5010465	/s/ Sebastian Duque	CEO, Director	2020-01-23 00:00:00.0
0001700943-20-000001	5010466	/s/ Alejandro Duque	COO, Treasurer, Director	2020-01-23 00:00:00.0
0001700943-20-000001	5010467	/s/ Patricia Duque	Director	2020-01-23 00:00:00.0
0001700943-20-000001	5010488	/s/ Orlando Duque	Director	2020-01-23 00:00:00.0
0001792115-20-000001	5010489	Joshua Carr	President	2020-01-23 00:00:00.0
0001670254-20-000057	5010487	Emily Molli	CCO	2020-01-22 00:00:00.0
0001670254-20-000057	5010508	Timothy Pool	CEO	2020-01-22 00:00:00.0
0001670254-20-000057	5010509	Bill Ottman	CIO	2020-01-22 00:00:00.0
0001799231-20-000001	5010512	Elias Tobias	CEO	2020-01-23 00:00:00.0
0001796532-20-000002	5010510	Terry Koehler	Chairman	2020-01-23 00:00:00.0
0001796532-20-000002	5010511	Tracy MacDougall	Chief Operating Officer	2020-01-23 00:00:00.0
0001780439-20-000003	5010490	Vanaja Vijaya Ragavan	President and CEO	2020-01-23 00:00:00.0
0001780439-20-000003	5010491	Gary J. L. Foster	Director	2020-01-23 00:00:00.0
0001665160-20-000047	5010513	Jason Giddings	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-01-24 00:00:00.0
0001665160-20-000048	5010514	Bruce Kania	Chief Executive Officer, Principal Executive Officer, Director	2020-01-24 00:00:00.0
0001665160-20-000048	5010515	Alicia Pettys	Director	2020-01-24 00:00:00.0
0001665160-20-000048	5010516	Anne Kania	Executive Vice President, Director, Treasurer, Principal Accounting Officer, and Principal Financial Officer	2020-01-24 00:00:00.0
0001670254-20-000060	5010492	Eric J. Lerner	President and Chief Scientist	2020-01-21 00:00:00.0
0001670254-20-000061	5010517	Daniel B lipton	Owner	2020-01-23 00:00:00.0
0001670254-20-000061	5010518	Russell Greene	Founder and CEO	2020-01-23 00:00:00.0
0001670254-20-000064	5010519	Gary Fleishman	C.E.O.	2019-12-05 00:00:00.0
0001670254-20-000064	5010520	Zack Fleishman	Chief Operating Officer	2019-12-05 00:00:00.0
0001670254-20-000065	5010521	Chad Troutwine	Chairman	2020-01-23 00:00:00.0
0001670254-20-000065	5010522	Ravi Sreerama	Partner	2020-01-23 00:00:00.0
0001670254-20-000065	5010523	Christine Outram	Chief Executive Officer	2020-01-23 00:00:00.0
0001746059-20-000020	5010493	Luca De Carolis	Owner and CEO	2020-01-24 00:00:00.0
0001670254-20-000069	5010494	Joseph Iannarelli	Stockholder	2020-01-16 00:00:00.0
0001670254-20-000069	5010495	Karl C Loepke	President	2020-01-16 00:00:00.0
0001670254-20-000070	5010496	Gary Fleishman	C.E.O.	2019-12-05 00:00:00.0
0001670254-20-000070	5010497	Zack Fleishman	Chief Operating Officer	2019-12-05 00:00:00.0
0001785115-20-000001	5010498	/s/ Serafina Palandech	CEO, Director	2020-01-24 00:00:00.0
0001785115-20-000001	5010499	/s/ Jennifer Johnson	Vice President, Director	2020-01-24 00:00:00.0
0001798376-20-000003	5010524	Gregory Reaves	Co-manager of manager, Sharswood 1 SPNSRS,LLC	2020-01-24 00:00:00.0
0001665160-20-000051	5010525	Morgan Bierschenk	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer of Geoship SPC	2020-01-24 00:00:00.0
0001669191-20-000019	5010526	Christopher Lustrino	Principal Executive Officer	2020-01-27 00:00:00.0
0001669191-20-000019	5010527	Christopher Lustrino	Principal Financial Officer	2020-01-27 00:00:00.0
0001669191-20-000019	5010528	Christopher Lustrino	Principal Accounting Officer	2020-01-27 00:00:00.0
0001669191-20-000019	5010529	Christopher Lustrino	Board Member	2020-01-27 00:00:00.0
