ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001665160-17-000235	6 percent	N/A	Common Stock		14284	1.75	N/A	24997.0	Y	Other	At issuer's discretion	999999.0	2017-07-14	9	1118504	1193774	12883	79185	143720	121766	340537	333200	524472	645393	2100372	2223763	1063568	1375677	4050	4873	-37678	-25423
0001665160-17-000234	5 percent	N/A	Common Stock		62500	0.16	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2017-08-22	9	576438	804401	38200	135302	7660	2640	632293	1641515	0	0	977817	700626	293401	258829	0	0	-990295	-873562
0001665160-17-000233	5 percent	N/A	Common Stock		25000	1.0	N/A	25000.0	Y	Other	At issuer's discretion	1000000.0	2017-08-13	10	268526	0	0	0	3123.59	0	306788.01	0	0	0	0	0	0	0	0	0	-63262.090000000004	0
0001665160-17-000232	5 percent	N/A	Common Stock		64934	0.77	N/A	49999.0	Y	Other	At issuer's discretion	99999.0	2017-08-08	15	487192.46	493695.93	71767.46	365647.59	0	0	0	0	0	0	0	0	0	0	0	0	-258527.79	-119436.59
0001665160-17-000231	6 percent	N/A	Common Stock		50	200.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-07-02	5	341971	391527	124253	316869	58176	0	0	0	0	0	100875	0	65974	0	0	0	-759364	-199207
0001665160-17-000230	5 percent	N/A	Common Stock		2500	10.0	N/A	25000.0	Y	Other	At issuer's discretion	100000.0	2017-07-09	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000229	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-07-23	2	6304	0	3083	0	0	0	4392	0	0	0	5763	0	2911	0	0	0	1887	0
0001708179-17-000001	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	150000.0	Y	First-come, first-served basis		200000.0	2017-09-01	4	52519	0	3049	0	16458	0	35512	0	0	0	0	0	0	0	0	0	-2993	0
0001708189-17-000001	NextSeed charges the Issuer 7% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note.	200000.0	Y	First-come, first-served basis		500000.0	2017-10-01	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001710284-17-000001	7.5%	SI Securities will receive equity compensation equal to 5.00% of the number of securities sold.	Debt				Determined in conjunction with a Broker-Dealer.	300000.0	Y	First-come, first-served basis		1000000.0	2017-08-28	2	2181	3268	2181	3268	0	0	0	0	0	0	215623	4340	-144174	-860	0	0	-11587	-1934
0001683052-17-000001	5%	0	Common Stock		4000000	0.25	We have valued the company at $USD 7 million post $USD 1,000,000 crowdfunding and 6 million pre-funding based on the current asset value of the 50% equity in the Ecuador JV company owner of a MINING OPERATION CONTRACT granted rights through 2036,	1000000.0	N				2018-06-30	0	0	0	0	0	0	0	72027	7879	0	0	0	0	0	0	0	0	0	0
0001669191-17-000080	4.9% of amount raised for a successful offering.	None.	Common Stock		10000	1.0	The valuation is based on the current composition of the team, the technology currently built, and the market value of competitors	10000.0	Y	First-come, first-served basis		500000.0	2017-08-28	8	101196	0	0	0	100	0	351072	0	0	0	2250	0	0	0	0	0	-293773	0
0001669191-17-000077	4.9% of amount raised for a successful offering.	None.	Other	Master Members	100	100.0	The Company valuation will be the amount of this offering.	10000.0	Y	First-come, first-served basis		500000.0	2017-10-02	0	27627	0	0	0	0	0	0	0	26627	0	0	0	0	0	0	0	0	0
0001670254-17-000185	4.0% of the offering amount upon a successful fundraise.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Preferred Stock		10000	5.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $5	50000.0	Y	Other	As determined by the issuer	230000.0	2017-12-25	5	545040	276115	37737	132659	0	0	66943	11597	119118	0	281707	0	0	0	0	0	-287317	-111841
0001644600-17-000140	SI Securities, LLC will receive a 7.5% cash commission and a 5% convertible note commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0		25000.0	Y	First-come, first-served basis		1000000.0	2017-08-28	8	52955	19350	47355	19350	0	0	379203	156250	738519	97065	0	0	0	0	0	0	-830802	-234065
0001644600-17-000138	SI Securities, LLC will receive a 7.5% cash commission and 5% convertible note commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the isser valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0		100000.0	Y	First-come, first-served basis		1000000.0	2017-06-26	9	214374	52782	169439	52782	100	0	0	0	0	0	5700	0	-39771	0	0	0	-469318	-59207
0001670254-17-000180	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	100000.0	Y	Other	As determined by the issuer	500000.0	2017-12-24	5	2689615	3544673	79220	106094	113325	922624	361364	1465093	1061261	0	1020206	2591743	550004	1289791	0	0	-812591	-166544
0001605652-17-000001	7.0%		Common Stock		1000000	1.0		50000.0	Y	Other	At the Company's discretion	1000000.0	2017-09-19	14	1927561	1721592	84883	138463	82678	55333	704838	0	0	0	4037186	2798927	745431	647279	36633	20995	-2559870	-2805350
0001674439-17-000007	The intermediary will get paid 8% success fee.	None	Common Stock		4000	5.0	Equidam valuation report	20000.0	Y	First-come, first-served basis		100000.0	2017-07-31	2	12461	35873	3877	27303	0	0	0	0	92150	63799	0	0	0	0	2392	0	-102832	-48127
0001670254-17-000182	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-25	5	143032	1083	25810	1083	0	0	0	0	54496	0	86679	3328	6020	0	0	0	-129760	1083
0001670254-17-000178	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Common Stock		4023	24.86	See Q21. Note: The first 8,045 shares are offered at $24.86/share and the remainder are offered at $40/share.	100000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-24	100	3160965	1906959	72166	50258	0	0	144560	103274	2772526	1940744	5517309	220473	401305	23065	0	0	39344	-255035
0001669191-17-000075	4.9% of amount raised for a successful offering.	None.	Common Stock		40000	0.25	The valuation is based upon the seed round valuation we received, plus the additional value created by completion of the tech platform	10000.0	Y	First-come, first-served basis		99999.5	2017-07-24	1	0	7920	0	7848	0	0	363450	358450	0	0	6700	0	0	0	0	0	-46876	-124755
0001670254-17-000174	4.0% of the offering amount upon a successful fundraise.	No.	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	100000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-23	7	1881418	2335583	201733	169769	402834	537908	337621	536323	2325302	1336080	3502447	4685512	2803662	2830201	0	0	-1178113	347613
0001670254-17-000176	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	250000	1.0	Pro-rated portion of the total principal value of $250,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	250000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-24	4	44170	37523	44125	37523	45	0	0	0	0	0	0	0	0	0	0	0	-65	-124999
0001675896-17-000005																																
0001665160-17-000227	5 percent	N/A	Common Stock		62500	0.16	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2017-08-22	9	576438	804401	38200	135302	7660	2640	632293	1641515	0	0	977817	700626	293401	258829	0	0	-990295	-873562
0001665160-17-000228	For the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 6% (six percent)		Common Stock		1739	5.75	Certain individuals (described in the Form C) will be entitled to purchase shares at $2.87 a share	9999.25	Y	Other	At the discretion of the issuer up to the new oversubscribed threshold of $1,069,994.50	1000000.0	2017-08-22	30	3591585	1634234	220022	507735	1404864	476827	1535780	331709	2076708	670188	7449487	3866171	890488	718997	1010	210	-2117909	-329064
0001644600-17-000135	SI Securities, LLC will receive a 7.5% cash commission and 5% convertible debt commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0		25000.0	Y	Other	First-come, first-served basis at the sole discretion of the company.	1000000.0	2017-08-21	3	5222	0	5222	0	0	0	4553	0	0	0	322	0	879	0	45	0	-43957	0
0001608695-17-000004	The intermediary will be paid 8% of the funds raised.	none	Common Stock		8696	2.3000000000000003	Equidam.com	20000.0	Y	First-come, first-served basis		100000.0	2017-09-30	3	35791	58161	5032	4627	0	0	0	0	81325	0	30475	21318	11422	8950	0	0	-60423	2560
0001683872-17-000005														0	830	0	830	0	0	0	105000	0	0	0	0	0	0	0	800	0	-42123	0
0001670254-17-000172	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	40000	1.0	Pro-rated portion of the total principal value of $40,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	40000.0	Y	Other	As determined by the issuer	107000.0	2017-12-20	1	38296	78840	18372	78840	4764	0	2777	2953	20000	0	82614	0	0	0	2043	0	-60368	-89113
0001691935-17-000001	7.0%	The Intermediary will receive a ten (10) year warrant to purchase a Crowd SAFE Units in a principal amount that is equal to 2% (two percent) of the aggregate principal amount of all Crowd SAFE Units issued in the Offering.	Other	Crowd SAFE (Simple Agreement for Future Equity) Units	100000	1.0		50000.0	Y	Other	At the Company's discretion	100000.0	2017-08-22	11	417432.74	78838.96	11612.130000000001	9943.34	0	0	153197.61000000002	25000	4000	4000	154149.02	745	135749.76	1344.01	0	0	-238327.38	-255908.41
0001644600-17-000133	Si Securities, LLC will receive a 5% cash commission and 5% convertible notes commission on all sales through the broker-dealer (e.g., $5,000 cash and a $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0		25000.0	Y	First-come, first-served basis		750000.0	2017-08-28	14	189427	183645	80091	117014	83880	53008	34522	30907	944822	435099	482540	206060	-22109	-38866	0	0	-507559	-240466
0001644600-17-000131	SI Securities, LLC will receive a 7.5% cash commission and a 5% convertible note commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised though SI Securities, LLC	Debt			1.0		25000.0	Y	First-come, first-served basis		1000000.0	2017-08-21	0	10049	4123	6417	2743	1494	843	167147	69840	0	0	24086	6412	16077	14162	0	0	-91336	39601
0001688220-17-000004																																
0001696377-17-000003																																
0001665160-17-000225	For the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 6% (six percent)		Common Stock		1739	5.75	Certain individuals (described in the Form C) will be entitled to purchase shares at $2.87 a share	9999.25	Y	Other	At the discretion of the issuer up to the new oversubscribed threshold of $1,069,994.50	1000000.0	2017-08-20	30	3591585	1634234	220022	507735	1404864	476827	1535780	331709	2076708	670188	7449487	3866171	890488	718997	1010	210	-2117909	-329064
0001695333-17-000006																																
0001692818-17-000002																																
0001695029-17-000005																																
0001695082-17-000006																																
0001644600-17-000129	SI Securities, LLC will receive a 7.5% cash commission and a 5% convertible note commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised though SI Securities, LLC	Debt			1.0		25000.0	Y	First-come, first-served basis		1000000.0	2017-08-21	0	10049	4123	6417	2743	1494	843	167147	69840	0	0	24086	6412	16077	14162	0	0	-91336	39601
0001669191-17-000073	4.9% of amount raised for a successful offering.	None.	Common Stock		15873	0.63	If the offering is successful at raising the maximum amount, then the company's implied valuation after the offering (sometimes called its post-money valuation) will be:  8,158,729 shares x $0.63 per share = $5,139,000 implied valuation.	9999.99	Y	First-come, first-served basis		99999.90000000001	2017-06-19	4	11500	0	1000	0	0	0	0	0	70300	0	0	0	0	0	0	0	-71600	0
0001670254-17-000170	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	250000	1.0	Pro-rated portion of the total principal value of $250,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	250000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-17	17	1281020	121042	661780	89042	10441	0	470242	0	0	0	510287	0	164068	0	0	0	-895180	-13000
0001706024-17-000004	7.5%	SI Securities will receive equity compensation equal to 5.00% of the number of securities sold.	Debt				N/A	100000.0	Y	First-come, first-served basis		1000000.0	2017-07-31	7	620604	684579	201582	566683	27785	0	635143	674366	0	0	1119257	671614	470145	250722	0	0	48165	-21441
0001665160-17-000224	5 percent	N/A	Common Stock		5882	1.7	N/A	9999.4	Y	Other	At issuer's discretion to updated threshold of $1,069,999.00	999999.5	2017-07-07	1	696610	411424	160	334008	267886	0	124553	25547	300000	0	828381	341108	716090	162777	0	0	-548100	-65902
0001695121-17-000004																																
0001644600-17-000128	SI Securities, LLC will receive a 5% cash commission and 5% convertible debt commission on all sales through the broker-dealer (e.g., $5,000 cash and $5,000 convertible note on a raise of $100,000).	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0		100000.0	N				2017-08-02	3	5738	13492	738	13492	0	0	10754	19575	0	0	276980	128389	140310	77149	0	0	1067	-59670
0001695166-17-000004																																
0001704091-17-000003	$0	None.	Preferred Stock		40000	1.0		40000.0	Y	First-come, first-served basis		95000.0	2017-07-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000223	6 percent	N/A	Other	Simple Agreement for Future Equity (SAFE)	5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-18	6	31972	11174	532	1770	0	0	0	0	44451	11342	0	0	0	142	489	25	-23311	-5968
0001665160-17-000222	6 percent	N/A	Other	Simple Agreement for Future Equity (SAFE)	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-31	3	71147.15000000001	75180.42	24881.65	30210.420000000002	0	0	1841.71	14498.15	431038.83	342567.24	117920.79000000001	87645.18000000001	62853.94	53142.71	0	0	-330953.07	-281711.56
0001644600-17-000125	Si Securities, LLC will receive a 5% cash commission and 5% convertible notes commission on all sales through the broker-dealer (e.g., $5,000 cash and a $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0		25000.0	Y	First-come, first-served basis		750000.0	2017-08-28	14	189427	183645	80091	117014	83880	53008	34522	30907	944822	435099	482540	206060	-22109	-38866	0	0	-507559	-240466
0001665160-17-000221	6 percent	N/A	Other	Simple Agreement for Future Equity (SAFE)	5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-18	6	31972	11174	532	1770	0	0	0	0	44451	11342	0	0	0	142	489	25	-23311	-5968
0001686564-17-000008																																
0001670254-17-000166	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	107000	1.0	Pro-rated portion of the total principal value of $107,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	107000.0	N				2017-12-13	2	5000	0	4896	0	0	0	19000	0	0	0	0	0	0	0	0	0	0	0
0001670254-17-000168	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	100000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-14	2	6275	1645	3775	1645	0	0	14321	15545	30000	0	0	0	0	0	170	0	-79146	-25200
0001665160-17-000220	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-31	4	313913	0	311224	0	0	0	29926	0	134044	0	0	0	0	0	0	0	-114473	0
0001445866-17-000869	5% of the total amount raised	2% of the equity offered for services provided	Other	Crowd Safe	10000	1.0	Founder used best judgement based on the maximum valuation	10000.0	Y	First-come, first-served basis		100000.0	2017-09-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001644600-17-000123														11	350382	322210	191901	211048	0	0	248340	150455	0	0	75126	3451	62740	0	0	0	-414713	-54130
0001665160-17-000218	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-08-31	4	313913	0	311224	0	0	0	29926	0	134044	0	0	0	0	0	0	0	-114473	0
0001708099-17-000001	Ten percent (10%) of raised amount	No	Other	Membership Interests (Units)	298	1000.0	Total amount of capital required plus cost of raise to acquire 39.39% of the Company (post-merger) divided by 298.	298000.0	Y	First-come, first-served basis		328000.0	2017-07-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001644600-17-000121	SI Securities, LLC will receive a 7.5% cash commission and a 5% convertible note commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised though SI Securities, LLC	Debt			1.0		25000.0	Y	First-come, first-served basis		1000000.0	2017-08-14	0	10049	4123	6417	2743	1494	843	167147	69840	0	0	24086	6412	16077	14162	0	0	-91336	39601
0001701184-17-000004	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	150000.0	Y	First-come, first-served basis		450000.0	2017-06-07	4	695544	440144	51399	300273	0	0	1227	0	50000	0	0	0	0	0	0	0	-273004	-28891
0001644600-17-000119	SI Securities, LLC will receive a 7.5% cash commission and a 5% convertible note commission on all sales through the broker-dealer (e.g., $7,500 cash and $5,000 convertible note on a raise of $100,000)	The intermediary will acquire a convertible note for the issuer valued at 5% of the amount raised though SI Securities, LLC	Debt			1.0		25000.0	Y	First-come, first-served basis		1000000.0	2017-08-14	0	10049	4123	6417	2743	1494	843	167147	69840	0	0	24086	6412	16077	14162	0	0	-91336	39601
0001665160-17-000214	5 percent	N/A	Common Stock		25000	1.0	N/A	25000.0	Y	Other	At issuer's discretion	1000000.0	2017-08-13	10	268526	0	0	0	3123.59	0	306788.01	0	0	0	0	0	0	0	0	0	-63262.090000000004	0
0001213900-17-006413														4	263000	135000	75000	4000	111000	128000	180000	1765000	0	100000	440000	125000	223000	74000	0	0	-1017000	-765000
0001670254-17-000163	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Convertible Note	250000	1.0	Pro-rated portion of the total principal value of $250,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	250000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-10	7	448357	233343	5684	481	16875	8136	433098	114239	1536274	644513	858293	679025	398742	360913	0	0	-676746	-382964
0001709126-17-000001	7.5%	5% Equity Compensation	Debt				Company will determine	25000.0	Y	First-come, first-served basis		750000.0	2017-08-14	2	121795	121795	121795	91390	0	0	0	0	304253	0	0	0	0	0	0	0	0	0
0001686564-17-000007														1	577	0	517	0	0	0	0	0	929	0	2786	0	991	0	800	0	-1352	0
0001708725-17-000002	7.5%	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Debt				The Company has determined the price.	25000.0	Y	First-come, first-served basis		1000000.0	2017-08-14	5	6075	0	1000	0	5075	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-17-000159	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	300000	1.0	Pro-rated portion of the total principal value of $300,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	300000.0	Y	Other	As determined by the issuer	1000000.0	2017-12-08	1	4757	0	4757	0	0	0	89297	0	0	0	0	0	0	0	0	0	-84561	0
