ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001611945-16-000005	7.0%	Warrants to purchase that number of shares of Series Seed-3 Preferred Stock equal to 1% of the total number of securities issued during the raise.	Preferred Stock		133929	1.12		150000.0	Y	Other	As determined by the issuer	1000000.0	2017-01-16	31	855863	741827	744494	713258	0	0	0	0	0	0	31445	0	0	0	0	0	-3488790	-1374306
0001670254-16-000236	3.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Debt			1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1.	100000.0	Y	Other	As determined by the issuer	1000000.0	2017-06-23	5	203522	96631	5620	17184	23969	6446	638334	261662	0	0	175254	119138	301941	166912	0	0	-269781	-123086
0001680041-16-000004																																
0001670254-16-000235	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	SAFE amount converts to shares based on the lower of priced round or valuation cap (see details below)	50000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-29	4	44069.32	94170.58	25686.5	85437.41	14000	4375.35	288816.74	214714.79	700052.83	626862.51	966907.42	841429.81	0	0	0	0	-278655.68	-428787.41000000003
0001679373-16-000008																																
0001682697-16-000005																																
0001677843-16-000003	The Intermediary Fee is 10% of actual capital raised and closed.	None.	Other	The company is a member managed LLC and is offering ownership in the form of member units.	20	7777.78	Price per share/unit	55555.56	Y	First-come, first-served basis		400000.0	2017-03-31	6	33019	3882	14093	1779	0	0	5499	0	2221	0	13838	0	11163	0	0	0	-112628	-220
0001670254-16-000234	3.0% of the offering amount upon a successful fundraise	No	Debt			1.0	Pro-rated portion of the total principal value of $20,000; interests will be sold in increments of $1.	20000.0	Y	Other	As determined by the issuer	25000.0	2016-12-22	9	44293	0	35293	0	0	0	14323	0	49200	800	0	0	0	0	0	0	-19230	-800
0001670254-16-000232	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-21	6	22365	700	1002	700	0	0	0	8965	0	0	0	0	0	0	-1622	0	-45992	-8965
0001664526-16-000009	7.0% and $0.00	2% of the total number of securities issued during the raise.	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	Other	As determined by the issuer	500000.0	2017-01-17	2	322	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	-19624	-10881
0001665160-16-000175	5 percent	N/A	Common Stock		35300	1.41	N/A	49773.0	Y	First-come, first-served basis		999972.0	2017-04-15	1	0	0	0	0	0	0	3573	0	0	0	0	0	0	0	0	0	-3639	0
0001669191-16-000080	4.9% of amount raised for a successful offering.	None.	Common Stock		80645	0.62	On September 21, 2016, the Company secured a term sheet for a preferred stock financing with a pre-financing valuation of $3M, with the assumption that such pre-financ... [Truncated: see complete discussion in attachment QuestionsAnswers.pdf, question 21.]	49999.9	Y	First-come, first-served basis		499194.86	2017-03-13	7	202262	113356	93773	45617	87343	64971	58718	44525	0	0	992826	306370	12831	0	27471	17885	74713	68831
0001691774-16-000001	6.0% and $0.00	None	Other	Revenue Share Promissory Note	400	250.0		100000.0	Y	Other	At the Company's discretion	500000.0	2017-02-14	96	943308	981574	90830	103141	27846	26943	160970	172221	0	8968	4629684	3977862	1741872	1428829	125822	136329	386953	333455
0001670254-16-000229	3.0% of the offering amount upon a successful fundraise.	No	Debt			1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1.	50000.0	Y	Other	As determined by the issuer	100000.0	2017-06-16	2	168720	177840	0	0	0	0	0	0	0	0	1361	0	0	0	7234	0	-61143	-50593
0001682864-16-000008																																
0001665160-16-000172	5 percent	N/A	Common Stock		100	100.0	N/A	10000.0	Y	First-come, first-served basis		1000000.0	2017-03-31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-16-000225	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2017-06-09	1	0	0	0	0	0	0	832	0	0	0	0	0	0	0	0	0	-20832	0
0001670254-16-000223	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	100000.0	Y	Other	As determined by the issuer	1000000.0	2017-06-09	2	84560	0	82894	0	0	0	33784	0	0	0	0	0	0	0	820	0	-73274	0
0001669191-16-000074	4.9% of amount raised for a successful offering.	None.	Other	Class A	2000	12.5	We reviewed both the Berkus Method for valuing start-ups, as well as our most recent sales data to determine an appropriate valuation.  Using last 30 days gross sales ... [Truncated: see complete discussion in attachment QuestionsAnswers.pdf, question 21.]	25000.0	Y	First-come, first-served basis		100000.0	2016-12-03	3	116973	0	92412	0	0	0	0	0	0	0	2527	15809	1120	20345	0	0	-40552	-15000
0001691341-16-000008	The Intermediary will receive 5% of the total amount raised, a right of first refusal, and a non-refundable $4.00 processing fee for each investment commitment made.	No	Other	Revenue Sharing Interest	2000	25.0		50000.0	Y	First-come, first-served basis		100000.0	2017-03-31	2	350890	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001691341-16-000006	The Intermediary will receive 5% of the total amount raised, a right of first refusal, and a non-refundable $4.00 processing fee for each investment commitment made.	No	Other	Revenue Sharing Interest	2000	25.0		50000.0	Y	First-come, first-served basis		100000.0	2017-03-31	2	350890	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-16-000218	3.0% of the offering amount upon a successful fundraise	No	Debt			1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1.	100000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-09	3	29903	0	3422	0	0	0	0	0	0	0	0	0	6280	0	0	0	26710	0
0001688437-16-000007																																
0001690909-16-000003	5.0% of the amount raised	2.0% of the securities being issued in this Offering	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	First-come, first-served basis		750000.0	2017-02-21	1	142891	110045	51953	11303	23813	3488	259450	217837	201439	76439	109947	38136	38831	34471	350	0	-133767	-155013
0001690909-16-000001	5.0% and $0.00	2.0% of the securities being issued in this Offering	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	First-come, first-served basis		750000.0	2017-02-21	1	142891	110045	51953	11303	23813	3488	259450	217837	201439	76439	109947	38136	38831	34471	350	0	-133767	-155013
0001680454-16-000006	FlashFunders shall be entitled to compensation for services equal to five (5%) of gross proceeds, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.		Other	Convertible Security.	50000	1.0	The security is not being sold in individual units. Investors will purchase a pro-rata portion of the total principal value of $50,000. Each investment is convertible into stock as described in Appendix C to the Issuer Disclosure Questionnaire.	50000.0	Y	Other	At the Issuer's discretion.	100000.0	2016-12-31	4	307.29	100	307.29	100	0	0	0	0	0	0	0	0	0	0	0	0	-2992.71	0
0001665160-16-000170	5 percent	N/A	Common Stock		15625	8.0	N/A	125000.0	Y	First-come, first-served basis		960000.0	2017-03-31	4	392735	976	312211	976	0	0	0	0	0	0	0	0	0	0	0	0	-597246	-24
0001144204-16-137950	The issuer will pay Start Engine Capital a commission equal to 5% based on the total amount raised in the Offering.	None	Common Stock		5310	10.0		53100.0	Y	First-come, first-served basis		1000000.0	2017-04-23	3	10241878.66	0	3878.66	0	5000	0	0	0	20050	0	5000	0	0	0	0	0	-11521.34	0
0001670254-16-000217	3.0% of the offering amount upon a successful fundraise	No	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	100000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-10	6	166527	48746	154146	33509	0	0	94771	1943	836671	300084	0	0	0	0	0	0	-536633	-606414
0001684715-16-000003	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	125000.0	Y	First-come, first-served basis		360000.0	2016-11-28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001686564-16-000003	Three percent (3%) of the gross amount raised.	No.	Common Stock		100000	1.0		100000.0	Y	First-come, first-served basis		300000.0	2017-03-03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-16-000168	As compensation for the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 5% (five percent) commission based on the amount of investments raised in the Offeri		Common Stock		600	500.0		100000.0	Y	First-come, first-served basis		1000000.0	2016-11-30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001691448-16-000001	SI Securities, LLC will receive a 5% cash commission and 5% equity commission on all sales through the broker-dealer (e.g., $5,000 cash and $5,000 equity on a raise of $100,000)	The intermediary will acquire an equity interest in the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0	$1 at par value	150000.0	Y	First-come, first-served basis		500000.0	2017-03-02	0	147581	0	129981	0	0	0	0	0	0	0	0	0	0	0	0	0	-14944	0
0001665160-16-000167	As compensation for the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 5% (five percent) commission based on the amount of investments raised in the Offeri		Common Stock		125000	0.4		50000.0	Y	First-come, first-served basis		1000000.0	2016-12-31	3	135709	226987	4101	216987	128438	0	2150103	1330305	100000	255000	125022	58468	73945	52635	800	800	-764698	-883461
0001670254-16-000216	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	200000.0	2017-01-25	5	17769	0	17769	0	0	0	0	0	155000	0	0	0	0	0	0	0	-138231	0
0001670254-16-000214	3.0% of the offering amount upon a successful fundraise	No	Debt			1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1.	50000.0	Y	Other	As determined by the issuer	100000.0	2017-06-02	2	6304	0	3083	0	0	0	4392	0	0	0	5763	0	2911	0	0	0	1887	0
0001670254-16-000213	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-10	3	8967	23686	8967	7296	0	16390	8374	6885	0	0	51013	35270	0	0	0	0	-22414	2113
0001686564-16-000001	Three percent (3%) of the gross amount raised.	No.	Common Stock		100000	1.0		100000.0	Y	First-come, first-served basis		300000.0	2017-03-03	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-16-000211	3.0% of the offering amount upon a successful fundraise	No	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	100000.0	Y	Other	As determined by the issuer	1000000.0	2017-06-02	1	61284	84136	3746	25258	310	0	6275	21189	0	0	51014	18408	17266	12082	0	0	-226801	-242557
0001670254-16-000209	4.0% of the offering amount upon a successful fundraise	No	Debt			1.0	Pro-rated portion of the total principal value of $200,000; interests will be sold in increments of $1.	200000.0	Y	Other	As determined by the issuer	1000000.0	2017-06-02	10	249924	188771	124025	175503	15052	900	124512	228086	17724	17724	2451589	3336843	797959	1531955	4829	394	7356	601
0001670254-16-000208	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-31	2	211534	0	209365	0	0	0	11670	0	395412	0	0	0	0	0	0	0	-195637	0
0001690216-16-000001	The company will pay the intermediary 10% from the money raised via 3rd party marketing efforts and 7% for the everything else, we assume an average of 8.5%.	N/A	Debt				Equidam.com	50000.0	Y	First-come, first-served basis		1000000.0	2017-03-31	0	110596	103660	6773	6447	0	0	0	0	0	0	0	5750	0	0	0	0	-207066	-155484
0001665160-16-000165	7 percent	N/A	Common Stock		50000	1.0	N/A	50000.0	Y	First-come, first-served basis		1000000.0	2017-05-17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001597895-16-000003	SI Securities, LLC will receive a 5% cash commission and 5% equity commission on all sales through the portal and (e.g., $5,000 cash and $5,000 equity on a raise of $100,000)	The intermediary will acquire an equity interest in the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0	$1.00 at par	150000.0	Y	First-come, first-served basis		300000.0	2017-02-10	5	170088	611545	78960	543048	0	0	867931	0	0	862965	32560	12363	46541	11544	0	0	-531862	-299639
0001670254-16-000207	3.0% of the offering amount upon a successful fundraise.	No	Common Stock		50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1;	50000.0	Y	Other	As determined by the issuer	500000.0	2016-12-13	3	88228	83533	5857	1944	45979	20879	201320	66815	70000	57424	540097	300519	175898	82077	0	0	-142386	-25327
0001670254-16-000206	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2016-12-31	2	218410.55000000002	0	208960.92	0	0	0	14702.92	0	376275.49	0	0	0	0	0	0	0	-192650.78	0
0001689502-16-000002	5% of the amount raised	2% equity in the round	Other	Crowd Safe	10000	1.0	based on the maximum value of the company	10000.0	Y	First-come, first-served basis		100000.0	2017-11-30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001688545-16-000003	StartEngine Capital will receive a 5% cash commission on all sales through the portal (e.g. $5,000 cash on a raise of $100,000)	None	Common Stock		50000	2.0		100000.0	Y	Other	First-come, first-served with rolling closings.	1000000.0	2017-02-15	2	58738	0	0	0	0	0	237164	0	0	0	0	0	0	0	0	0	-178426	0
0001665160-16-000160	7 percent	N/A	Common Stock		40000	1.25	N/A	50000.0	Y	First-come, first-served basis		1000000.0	2017-01-30	50	552153	289025	133554	271760	42508	10766	1704117.42	634938.3	1610840.01	1257223.01	3321382	859876	3239998	1201939	0	0	-1550890	-1432698
0001670254-16-000205	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	200000	1.0	Pro-rated portion of the total principal value of $200,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	200000.0	Y	Other	As determined by the issuer	1000000.0	2016-11-21	3	230909	441532	193376	432140	-1097	0	589120	569251	230909	441532	5694	1115	0	0	0	0	-298573	-361237
0001685706-16-000005	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	100000.0	Y	First-come, first-served basis		150000.0	2016-11-15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-16-000203	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	25000	1.0	Pro-rated portion of the total principal value of $25,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	25000.0	Y	Other	As determined by the issuer	100000.0	2017-05-12	5	20254.25	65496.130000000005	17677.98	65496.130000000005	0	0	0	300.94	278.33	2247.8	5002.21	374.74	11955.29	847.85	0	0	-42971.47	-32290.61
0001670254-16-000201	3.0% of the offering amount upon a successful fundraise	No	Preferred Stock		600	500.0	Pro-rated portion of the total principal value of $300,000; interests will be sold in increments of $500.	300000.0	Y	Other	As determined by the issuer	1000000.0	2017-01-06	20	661672	559379	17911	16580	0	0	240501	190945	283291	247698	1288438	1248091	321132	367180	0	0	184842	-75585
0001665160-16-000152	As compensation for the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 5% (five percent) commission based on the amount of investments raised.		Common Stock		1000	100.0		100000.0	Y	First-come, first-served basis		1000000.0	2016-12-31	12	2602000	2120000	294000	359000	133000	1288	100000	50000	1208000	1458000	788000	76000	106000	58000	0	0	-76000	-300000
0001684570-16-000008																																
0001684570-16-000007																																
0001684570-16-000006																																
0001144204-16-135022	North Capital Private Securities (NCPS) will receive commissions equal to 7% for investments solicited by NCPS and 1.5% for investments not solicited by NCPS.  The company will pay a $5.00 fee for each investor qualification and $1,750 for escrow services.	The company has also agreed to issue to NCPS warrants to purchase a number of shares of Common Stock equal to 1% of the total number of shares purchased by all investors whether or not solicited by NCPS.	Common Stock		9091	11.0		100000.0	Y	First-come, first-served basis		1000000.0	2017-02-16	8	2531201	2413943	92379	76366	97508	132173	97236	82652	578511	1195759	2820115	3417077	825478	882039	0	0	-188301	290353
0001674421-16-000012	3% of the amount raised	None	Other	Units of Class B LLC Membership Interests	7000	10.0		70000.0	Y	First-come, first-served basis		1000000.0	2017-10-16	0	738636	799612	6697	2432	23876	24193	148073	148170	464128	485224	790683	789927	493335	323187	0	0	-381628	-326093
0001688545-16-000002	StartEngine Capital will receive a 5% cash commission on all sales through the portal (e.g. $5,000 cash on a raise of $100,000)	None	Common Stock		50000	2.0		100000.0	Y	Other	First-come, first-served with rolling closings.	1000000.0	2017-02-15	2	58738	0	0	0	0	0	237164	0	0	0	0	0	0	0	0	0	-178426	0
0001597895-16-000001	SI Securities, LLC will receive a 5% cash commission and 5% equity commission on all sales through the portal and (e.g., $5,000 cash and $5,000 equity on a raise of $100,000)	The intermediary will acquire an equity interest in the issuer valued at 5% of the amount raised through SI Securities, LLC.	Debt			1.0	$1.00 at par	150000.0	Y	First-come, first-served basis		300000.0	2017-02-10	5	170088	611545	78960	543048	0	0	867931	0	0	862965	32560	12363	46541	11544	0	0	-531862	-299639
0001665160-16-000150	5 percent	N/A	Common Stock		4500	6.63	N/A	29835.0	Y	First-come, first-served basis		999804.0	2017-01-31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-16-000200	4.0% of the offering amount upon a successful fundraise	No	Other	Convertible Note	200000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	200000.0	Y	Other	As determined by the issuer	1000000.0	2017-04-17	4	789678	833451	774459	827900	10000	0	22021	38652	3195292	2430292	282981	124862	0	0	2464	2372	-802014	-977491
0001669760-16-000095																																
0001690042-16-000004	7.0% and $0.00	1% of stock	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	Other	As determined by the issuer	1000000.0	2017-01-17	5	9353	14800	9353	14800	0	0	4100	3300	0	0	235508	97896	0	158671.74	800	1700	-6247	-3939
0001690042-16-000001	7.0% and $0.00	1% of stock	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	Other	As determined by the issuer	1000000.0	2017-01-17	5	9353	14800	9353	14800	0	0	4100	3300	0	0	235508	97896	0	158671.74	800	1700	-6247	-3939
0001689758-16-000001	The company will pay the intermediary 10% from the money raised via 3rd party marketing efforts and 7% for the everything else, we assume an average of 8.5%.	None	Common Stock		33333	9.0	Equidam.com	300000.0	Y	First-come, first-served basis		1000000.0	2017-02-28	2	170000	0	0	0	0	0	0	0	170000	0	0	0	0	0	0	0	0	0
0001664526-16-000007	7.0%	Warrants to purchase that number of shares of Series Seed-3 Preferred Stock equal to 1% of the total number of securities issued during the raise.	Preferred Stock		133929	1.12		150000.0	Y	Other	As determined by the issuer	1000000.0	2017-01-16	31	855863	741827	744494	713258	0	0	0	0	0	0	31445	0	0	0	0	0	-3488790	-1374306
0001144204-16-134497	The issuer will pay Start Engine Capital a commission equal to 5% based on the total amount raised in the Offering.	None	Common Stock		5310	10.0		53100.0	Y	First-come, first-served basis		1000000.0	2017-04-23	3	10241878.66	0	3878.66	0	5000	0	0	0	20050	0	5000	0	0	0	0	0	-11521.34	0
0001664526-16-000003	7.0% and $0.00	2% of the total number of securities issued during the raise.	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	Other	As determined by the issuer	500000.0	2017-01-17	2	322	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	-19624	-10881
0001664526-16-000005	7.0% and $0.00	2% of the total number of securities issued during the offering.	Debt				The Secured Promissory Notes shall be issued at the amount of the obligation.	50000.0	Y	Other	As determined by the issuer	300000.0	2017-01-13	9	1633216	200081	979242	119614	0	0	32000	0	1588819	100000	0	0	0	0	0	0	-277547	-28608
0001670254-16-000198	3.0% of the offering amount upon a successful fundraise	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	100000.0	2017-05-12	5	261055.77000000002	176000.91	641.15	4498.62	7.62	0	332753.01	250794.91	0	0	4919.81	21191.25	0	0	0	0	3096.76	-30542.61
0001681345-16-000004																																
0001682664-16-000006																																
0001682664-16-000005																																
0001682664-16-000004																																
0001669191-16-000062	4.9% of amount raised for a successful offering.	None.	Common Stock		500	40.0	In trying to disrupt the jewelry industry, driving it to self-service design, Troupe has made a significant investment in software development.  Specifically, we've in... [Truncated: see complete discussion in attachment QuestionsAnswers.pdf, question 21.]	20000.0	Y	First-come, first-served basis		40000.0	2016-12-19	6	127803	0	0	0	0	0	127562	0	7065	0	0	0	0	0	0	0	129663	0
0001670254-16-000195	3.0% of the offering amount upon a successful fundraise.	No	Debt			1.0	Pro-rated portion of the total principal value of $25,000; interests will be sold in increments of $1.	25000.0	Y	Other	As determined by the issuer	100000.0	2017-03-31	1	4551918.97	3651353.81	-3286	1838.28	375	-850	15211.2	-91.34	3496391.37	2735860.0300000003	578652.66	310799.8	106790.93000000001	1505	29082.46	0	124522.43000000001	-33698.97
