ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-18-000972	1	Inman Porter	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-24
0001753336-18-000001	2	Stephen Warne Ardagh	Treasurer, Director	2018-09-21
0001753336-18-000001	1	Lynda McLean Ronaldson	Director	2018-09-21
0001670254-18-000452	1	Matteo Mattia Gemignani	CEO	2018-09-20
0001670254-18-000456	3	Jan H Leife	President	2018-09-21
0001670254-18-000456	2	Ekaterina A Cronstedt	CEO	2018-09-21
0001670254-18-000456	1	fredrik holmstedt	cfo	2018-09-21
0001670254-18-000454	3	Stanley Kim	CEO	2018-09-21
0001670254-18-000454	2	Paul Fernyhough	Professor	2018-09-21
0001670254-18-000454	1	Lakshmi P Kotra	Director	2018-09-21
0001665160-18-000970	1	Scott F Hickey	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-21
0001751635-18-000005	2	Teresa Cauvel	CTO	2018-09-21
0001751635-18-000005	1	Sona Shah	CEO	2018-09-21
0001751635-18-000004	2	Teresa Cauvel	CTO	2018-09-21
0001751635-18-000004	1	Sona Shah	CEO	2018-09-21
0001746343-18-000005	1	Laura Lasco	Manager of NexGen Restaurants, LLC, the manager	2018-09-21
0001746343-18-000005	2	Jerry Lasco	Founder	2018-09-21
0001746343-18-000005	3	Cuc Roetelle	Operating Partner	2018-09-21
0001670254-18-000450	1	Vincent Zaldivar	CEO	2018-09-19
0001745727-18-000005	1	Taylor Jacobson	Director	2018-09-21
0001750319-18-000001	2	Spencer Grider	Manager	2018-09-21
0001750319-18-000001	1	David Frazier	Manager	2018-09-21
0001751443-18-000003	1	Nicole Birch	CEO	2018-09-21
0001670254-18-000448	2	Angela Nauta	Chief Investment Officer	2018-09-20
0001745986-18-000001	2	Duncan Sham	Director	2018-09-20
0001745986-18-000001	1	Shi Li	Director	2018-09-20
0001670254-18-000448	4	Michelle Gordon	CFO	2018-09-20
0001670254-18-000448	3	Cathy Key	Chief Operations Officer	2018-09-20
0001670254-18-000448	5	Shelly Befumo	Secretary	2018-09-20
0001670254-18-000448	6	Wendy Burton	Founder & CEO	2018-09-20
0001670254-18-000448	1	Leslie William Bolton	Director of Marketing	2018-09-20
0001665160-18-000967	1	JD Claridge	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-20
0001670254-18-000446	3	Eric Janszen	Co-founder and CEO	2018-09-20
0001670254-18-000446	1	Eric Malafeew	Co-founder and CTO	2018-09-20
0001670254-18-000446	2	Sunil Tahiliani	Director	2018-09-20
0001665160-18-000964	1	Frank Azzolino	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-20
0001669191-18-000423	2	Julio Ramirez	Principal Financial Officer	2018-09-13
0001665160-18-000957	1	Andrew Torba	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-18
0001665160-18-000953	1	Tochi Eke-Okoro	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-18
0001669191-18-000423	1	Craig Bouchard	Principal Executive Officer	2018-09-13
0001669191-18-000423	6	John  Preston	Board Member	2018-09-14
0001669191-18-000423	7	Christopher Schuh	Board Member	2018-09-18
0001669191-18-000423	5	Craig Bouchard	Board Member	2018-09-13
0001669191-18-000423	4	Norton Schwartz	Board Member	2018-09-14
0001669191-18-000423	3	Johanne Medina	Principal Accounting Officer	2018-09-13
0001665160-18-000950	1	Carlo Brovero	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-18
0001665160-18-000949	1	John Pearson	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-18
0001665160-18-000949	2	Justin Bongi	Co-CEO	2018-09-18
0001665160-18-000948	2	Friso Schmid	Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-18
0001665160-18-000948	1	Aike Muller	Principal Executive Officer and President	2018-09-18
0001665160-18-000947	2	Robert Lloyd	Principle Financial Officer and Principle Accounting Officer	2018-09-18
0001665160-18-000947	1	Steven T Gordon	Principal Executive Officer and Manager	2018-09-18
0001751443-18-000002	1	Nicole Birch	CEO	2018-09-18
0001751287-18-000002	1	Joseph Hernandez	CEO	2018-09-17
0001665160-18-000943	1	Kirk Maust	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-17
0001665160-18-000945	1	John Koszalkowski	President, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer	2018-09-17
0001748169-18-000002	3	Alexander Paul Day	COO	2018-09-17
0001748169-18-000002	2	Ravi Lalchandani	CAO	2018-09-17
0001748169-18-000002	1	David Kaplan	CEO	2018-09-17
0001665160-18-000942	1	Pavana Jain	CEO and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-17
0001665160-18-000939	1	Pavana Jain	CEO and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-17
0001665160-18-000937	1	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-14
0001670254-18-000444	2	Yuriy Smirnov	Secretary	2018-09-14
0001670254-18-000444	3	Peter Byrnes	Chief Executive Officer	2018-09-14
0001670254-18-000444	1	Anton Isaykin	CTO	2018-09-14
0001665160-18-000936	1	Justin Shelby	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-14
0001665160-18-000935	1	Pez Zarifianr	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-14
0001670254-18-000442	1	Alon Hochberg	Co-founder & CEO	2018-09-14
0001691608-18-000001	1	Geoffrey Barker	Manager	2018-09-13
0001691608-18-000001	2	Andrew Pogue	Manager	2018-09-13
0001665160-18-000934	1	Peter Jenson	CEO, Principal Executive Officer, and Principal Executive Director	2018-09-14
0001665160-18-000934	2	Chris Betzing	Principal Accounting Officer and Principal Financial Officer	2018-09-14
0001658754-18-000003	1	Richard Hull	Director	2018-09-14
0001658754-18-000003	2	Sergio Radovcic	Director	2018-09-14
0001658754-18-000003	4	Ken Hayes	Director	2018-09-14
0001658754-18-000003	3	Buck Jordan	Director	2018-09-14
0001665160-18-000932	1	Jeff Mueller	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-13
0001670254-18-000440	1	Spencer T Folmar	Director, Writer, and Producer	2018-09-13
0001670254-18-000438	1	Michel Myara	CEO	2018-09-13
0001739405-18-000006	2	Nicolas Russell	Managing member of Redwood Hospitality LLC, the managing member	2018-09-13
0001739405-18-000006	1	Steve Wong	Managing member of Redwood Hospitality LLC, the managing member	2018-09-13
0001750508-18-000002	1	Bethany Ruhe	Owner	2018-09-13
0001735180-18-000004	2	Roveen Abante	Co-Founder	2018-09-13
0001735180-18-000004	1	Joseph Arbeely	Manager & Co-Founder	2018-09-13
0001735180-18-000004	3	Michael Chase LoVullo	Co-Founder	2018-09-13
0001665160-18-000925	2	Patrick Daly	Principal Financial Officer and Principal Accounting Officer	2018-09-13
0001665160-18-000925	1	Dr. Samir Damani	CEO, Principal Executive Officer and Director	2018-09-13
0001665160-18-000924	1	Govinda Giri	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-13
0001665160-18-000923	1	Ken Farr	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-13
0001751259-18-000004	1	Scott A. Baker	President	2018-09-12
0001665160-18-000921	1	Barbara Weller	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-12
0001665160-18-000919	1	Stacie Claytor	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-12
0001750337-18-000007	1	Debra M. Spotts	President	2018-09-12
0001665160-18-000917	1	Govinda Giri	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-12
0001665160-18-000916	1	Chris Kolodziejski	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-12
0001669191-18-000415	1	Maureen Lloren	Principal Executive Officer	2018-05-14
0001669191-18-000415	4	Maureen Lloren	Board Member	2018-05-14
0001669191-18-000415	3	Mike Beck	Principal Accounting Officer	2018-05-14
0001669191-18-000415	2	Ned Sedlak	Principal Financial Officer	2018-05-14
0001745594-18-000001	1	Jeffrey Villwock	CEO, Community Redevelopment Fund, Inc., Manager	2018-09-12
0001746343-18-000004	3	Cuc Roetelle	Operating Partner	2018-09-11
0001746343-18-000004	2	Jerry Lasco	Founder	2018-09-11
0001746343-18-000004	1	Laura Lasco	Manager of NexGen Restaurants, LLC, the manager	2018-09-11
0001665160-18-000912	1	Jason Buterin	CEO and Manager, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2018-09-11
0001751443-18-000001	1	Nicole Birch	CEO	2018-09-11
0001665160-18-000914	1	Joshua Montgomery	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-11
0001665160-18-000910	1	Mohammad Ghumman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-11
0001743800-18-000003	1	Gregory David Miller	President	2018-09-11
0001739571-18-000005	1	John Smolen	Owner	2018-09-11
0001669191-18-000413	1	Christopher Lustrino	Principal Executive Officer	2018-09-11
0001669191-18-000413	2	Christopher Lustrino	Principal Financial Officer	2018-09-11
0001669191-18-000413	3	Christopher Lustrino	Principal Accounting Officer	2018-09-11
0001669191-18-000413	4	Christopher Lustrino	Board Member	2018-09-11
0001635926-18-000007	1	Peter Platzer	Director	2018-08-15
0001749079-18-000006	1	Vladimir Tereshkov	CEO	2018-09-11
0001669191-18-000408	3	Chris Pesigan	Principal Accounting Officer	2018-04-30
0001669191-18-000408	4	Tyrre Burks	Board Member	2018-04-30
0001669191-18-000410	2	Andrew  Weinberger	Principal Financial Officer	2018-06-13
0001669191-18-000410	3	Andrew  Weinberger	Principal Accounting Officer	2018-06-13
0001669191-18-000410	4	Andrew  Weinberger	Board Member	2018-06-13
0001665160-18-000908	1	Jarrod Blake	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-10
0001752109-18-000002	1	Ena Jones	President/CEO	2018-09-10
0001669191-18-000408	2	Chris Pesigan	Principal Financial Officer	2018-04-30
0001669191-18-000408	1	Tyrre Burks	Principal Executive Officer	2018-04-30
0001669191-18-000410	1	Andrew  Weinberger	Principal Executive Officer	2018-06-13
0001669191-18-000406	3	Wallace Santos	Principal Accounting Officer	2018-03-16
0001669191-18-000406	2	Wallace Santos	Principal Financial Officer	2018-03-16
0001669191-18-000406	1	Wallace Santos	Principal Executive Officer	2018-03-16
0001665160-18-000906	1	Mark Lyle	CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-10
0001665160-18-000906	2	Chris Ladwig	Chief Design Officer and Director	2018-09-10
0001751259-18-000003	1	Scott A. Baker	President	2018-09-10
0001670254-18-000434	2	Jaime Frand	CEO	2018-09-06
0001670254-18-000436	4	Nikola Mrvaljevic	CEO	2018-09-07
0001670254-18-000436	3	Carsten Winsnes	COO	2018-09-07
0001670254-18-000436	2	Nikola Mrvaljevic	CEO	2018-09-07
0001670254-18-000436	1	Filipp Shpomer	Treasurer	2018-09-07
0001670254-18-000434	1	Jaime Frand	CEO	2018-09-06
0001665160-18-000905	2	David Anderson	Principal Financial Officer and Principal Accounting Officer	2018-09-07
0001665160-18-000905	1	Greg Nelson	CEO, Principal Executive Officer and Director	2018-09-07
0001749079-18-000001	1	Vladimir Tereshkov	CEO	2018-09-07
0001665160-18-000904	1	Tony Chan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-07
0001669191-18-000402	2	Zachary Silverman	Principal Financial Officer	2018-08-31
0001669191-18-000402	3	Zachary Silverman	Principal Accounting Officer	2018-08-31
0001669191-18-000402	4	Zachary Silverman	Board Member	2018-08-31
0001669191-18-000402	1	Zachary Silverman	Principal Executive Officer	2018-08-31
0001665160-18-000903	2	Joe Storment	Principle Financial Officer and Principal Accounting Officer	2018-09-07
0001665160-18-000903	1	Michael Schoening	President, Principal Executive Officer and Director	2018-07-31
0001665160-18-000902	2	Ron Erickson	Director	2018-09-07
0001665160-18-000902	3	David Markowski	Principal Financial Officer, Principal Accounting Officer	2018-09-07
0001665160-18-000902	1	Aaron Itzkowitz	CEO, President, Chairman, Director, Principal Executive Officer	2018-09-07
0001665160-18-000900	2	Joe Storment	Principle Financial Officer and Principal Accounting Officer	2018-09-07
0001665160-18-000900	1	Michael Schoening	President, Principal Executive Officer and Director	2018-07-31
0001669191-18-000398	4	Trevor  Castor	Board Member	2018-08-30
0001669191-18-000398	1	Trevor  Castor	Principal Executive Officer	2018-08-29
0001669191-18-000398	2	James  Falese	Principal Financial Officer	2018-08-29
0001669191-18-000398	3	James  Falese	Principal Accounting Officer	2018-08-29
0001665160-18-000897	1	Joshua Paul Christensen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-06
0001750894-18-000001	1	Justin Lee	CEO	2018-09-06
0001665160-18-000895	1	Raghuram Balasubramanian	CEO, Principal Executive Officer, Director, Principal Accounting Officer, Principal Financial Officer	2018-09-06
0001665160-18-000895	2	Priya Krishnamurthy	Director	2018-09-06
0001665160-18-000892	1	Marcus Martin II	CEO and Principal Executive Officer	2018-09-06
0001665160-18-000892	2	Jason T Britton	Director, Principal Financial Officer and Principal Accounting Officer	2018-09-06
0001749046-18-000003	5	/s/ Alexsandra Guerra	Co-Manager	2018-09-06
0001749046-18-000003	4	/s/ Christophe Jospe	Co-Manager	2018-09-06
0001749046-18-000003	2	/s/ Paul Carduner	Co-Manager	2018-09-06
0001749046-18-000003	1	/s/ Paul Gambill	Chief Executive Officer and Co-Manager	2018-09-06
0001749046-18-000003	3	/s/ Aldyen Donnelly	Co-Manager	2018-09-06
0001742857-18-000003	1	G. Michael Weiksner	Manager of the Issuer's Manager	2018-09-05
0001749046-18-000002	5	Alexsandra Guerra	Co-Manager	2018-09-05
0001749046-18-000002	1	Paul Gambill	Chief Executive Officer and Co-Manager	2018-09-05
0001749046-18-000002	2	Paul Carduner	Co-Manager	2018-09-05
0001749046-18-000002	3	Aldyen Donnelly	Co-Manager	2018-09-05
0001749046-18-000002	4	Christophe Jospe	Co-Manager	2018-09-05
0001665160-18-000888	3	James Hyde	Vice Chairman and Director	2018-09-05
0001665160-18-000888	4	Glenn Pohs	Director	2018-09-05
0001665160-18-000888	2	Steven Relis	Principal Financial Officer and Principal Accounting Officer	2018-09-05
0001665160-18-000888	1	Steve Vanechanos	Executive Chairman, CEO, Principal Executive Officer and Director	2018-09-05
0001742055-18-000001	2	Planet 9 Studios, Inc.	Director	2018-09-05
0001742055-18-000001	1	David Colleen	Director	2018-09-05
0001665160-18-000886	1	Pietro Gabriele	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-05
0001745548-18-000004	1	Theodore Lee	CEO and Director	2018-09-05
0001745548-18-000004	2	Michael Kim	COO and Director	2018-09-05
0001665160-18-000883	2	Richard Sherman	COO, Principal Financial Officer, Principal Accounting Officer, and Director	2018-09-04
0001665160-18-000883	1	Alaxander Villmann	CEO, Principal Executive Officer and Director	2018-09-04
0001665160-18-000884	1	Jake Obremski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-04
0001665160-18-000881	2	David Sastry	Director, Principal Financial Officer, Principal Accounting Officer	2018-09-04
0001665160-18-000881	1	Paul Moller	CEO, Principal Executive Officer	2018-09-04
0001665160-18-000880	1	Joseph Anselmo	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-04
0001675773-18-000004	1	Jake Shapiro	CEO and President and Director	2018-09-04
0001751259-18-000002	1	Scott A. Baker	President	2018-09-04
0001670254-18-000429	3	Chris Tan	CEO and Co-Founder	2018-08-31
0001670254-18-000427	1	Neil Epstein	CEO / President	2018-08-31
0001670254-18-000432	1	Stacy Lowery	President	2018-02-09
0001670254-18-000432	2	Alex Hall	CEO	2018-02-09
0001670254-18-000431	1	Anne Maleady	Board member	2018-06-15
0001670254-18-000431	2	Kimberly Anne Riether Coupounas	Board Member	2018-06-04
0001670254-18-000431	3	Demetri Coupounas	CEO	2018-06-04
0001670254-18-000429	2	Bobby Lee	CFO	2018-08-31
0001670254-18-000429	1	Rick Reynolds	Secretary	2018-08-31
0001670254-18-000424	3	Stephen Porter	Co-Founder and CEO	2018-08-30
0001670254-18-000426	1	Philip Guerin	Managing Member	2018-08-28
0001670254-18-000424	1	John Porter	Co-Founder	2018-08-31
0001670254-18-000424	2	Hans Seezen	Director and CFO	2018-08-31
0001751635-18-000003	1	Sona Shah	CEO	2018-08-31
0001751635-18-000003	2	Teresa Cauvel	CTO	2018-08-31
0001670254-18-000422	1	Randy Stenger	Founder/CEO	2018-08-31
0001670254-18-000419	1	Rod Ford	Chairman and CEO	2018-08-30
0001670254-18-000416	1	Andrea A Kirschner	Interim CFO	2018-08-30
0001670254-18-000416	2	Akiva Resnikoff	Founder & CEO The Cookie Department	2018-08-29
0001670254-18-000415	1	Chris Taylor	Producer / Writer	2018-08-21
0001751259-18-000001	1	Scott A. Baker	President	2018-08-30
0001670254-18-000414	2	Donald F Thompson	Brewmaster	2018-08-24
0001670254-18-000414	1	Mary M Thompsona	Director of brewing operations	2018-08-24
0001670254-18-000414	3	Davis Sean Tucker	President/Founder	2018-08-22
0001670254-18-000413	1	Gene M Perez	COO	2018-07-12
0001670254-18-000413	2	Alan Bignall	CFO	2018-07-12
0001670254-18-000413	3	Jeffrey Isquith	President and CEO	2018-07-12
0001665160-18-000877	2	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-30
0001665160-18-000877	1	Lisa Machat	Director	2018-08-30
0001665160-18-000876	1	Robert J Freedman	CEO, Principal Executive Officer and Manager	2018-08-30
0001665160-18-000876	2	Coan I Knight	Controller	2018-08-30
0001658754-18-000001	4	Ken Hayes	Director	2018-08-29
0001658754-18-000001	1	Richard Hull	Director	2018-08-29
0001658754-18-000001	2	Sergio Radovcic	Director	2018-08-29
0001658754-18-000001	3	Buck Jordan	Director	2018-08-29
0001746291-18-000004	1	OLUSEUN ODUMUSI	CEO	2018-08-30
0001670254-18-000412	1	Mark How	Chief Revenue Officer	2018-08-08
0001670254-18-000412	6	James Schmachtenberger	CEO	2018-08-06
0001670254-18-000407	1	Tim St.Martin	CEO	2018-05-01
0001665160-18-000869	1	Kevin J. Williams	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-29
0001670254-18-000411	1	Sheryl Briggs	President	2018-08-04
0001670254-18-000412	5	Hakan Lindskog	Chief Operating Officer	2018-08-07
0001670254-18-000412	4	R. Jordan Hall	Executive Chairman	2018-08-07
0001670254-18-000412	3	Shawn Ramer	SVP Product Development	2018-08-07
0001670254-18-000412	2	Daniel Schmachtenberger	Chief Strategy Officer	2018-08-07
0001750975-18-000002	1	Victor Harvey	CEO	2018-08-29
0001670254-18-000408	3	Joseph Hyman	Co-Founder and CEO	2018-08-23
0001670254-18-000408	2	Ezekiel Kolajo	Lead Engineer	2018-08-23
0001670254-18-000408	1	Alexandre Wing	Co-Founder and Creative Lead	2018-08-23
0001665160-18-000873	2	Vlad Lobak	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-29
0001665160-18-000873	1	Den Tolmor	Director	2018-08-29
0001750513-18-000001	1	Sean Kanter	Manager	2018-08-29
0001665160-18-000864	2	Steve Fambro	Principal Executive Officer and Director, Principal Accounting Officer	2018-08-29
0001665160-18-000864	1	Chris Anthony	Principal Executive Officer and Director, Principal Financial Officer	2018-08-29
0001683168-18-002559	1	/s/ Charles Feltman	President	2018-08-29
0001665160-18-000863	2	David Anderson	Principal Financial Officer and Principal Accounting Officer	2018-08-29
0001665160-18-000863	1	Greg Nelson	CEO, Principal Executive Officer and Director	2018-08-29
0001665160-18-000871	2	Shazad Contractor	Principle Financial Officer and Principal Accounting Officer	2018-08-29
0001665160-18-000871	1	Dorothy McKinney	CEO, Principal Executive Officer and Director	2018-07-31
0001670254-18-000406	1	Andrew Gazdecki	CEO and Co-Founder	2018-08-07
0001670254-18-000405	1	Domingo Correa	President and CEO	2018-08-23
0001670254-18-000404	1	Site Li	Co-founder & COO	2018-08-27
0001670254-18-000404	2	Patrick Hoban	Co-founder & CEO	2018-08-27
0001670254-18-000403	1	Darren Garvey	Owner	2018-08-28
0001670254-18-000402	1	Sajal Sahay	Co-Founder & CEO	2018-08-24
0001670254-18-000402	2	Arti Kapoor	Director	2018-08-24
0001670254-18-000402	3	Asheesh Barman	Co-Founder, President, & COO	2018-08-24
0001670254-18-000401	2	Giana Korth	Head of Client Strategy	2018-07-31
0001670254-18-000401	3	Jennifer Eden	CEO	2018-07-31
0001670254-18-000401	1	Gabriela Alves	COO	2018-08-01
0001683168-18-002552	1	/s/ Ronald Wilson	Chief Executive Officer, Principal Financial Officer, Principal Accounting Officer and Director	2018-08-29
0001683168-18-002552	2	/s/ Matthew Paulson	Director	2018-08-29
0001683168-18-002552	3	/s/ James Caccavo	Director	2018-08-29
0001683168-18-002552	4	/s/ Kevin Park	Director	2018-08-29
0001683168-18-002552	5	/s/ Darren Yager	Director	2018-08-29
0001665160-18-000862	1	Marcus Laun	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-29
0001670254-18-000400	3	Daniel Schulof	Co-founder and CEO	2018-08-21
0001670254-18-000400	1	Michael D'Amico	CFO	2018-08-23
0001670254-18-000400	2	Nathan Mostow	COO	2018-08-22
0001665160-18-000861	1	Essam Tawfik Marcus	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-29
0001670254-18-000399	3	Ryan Rafols	Founder & CEO	2018-08-22
0001670254-18-000399	1	Travis Brodeen	Founder & CTO	2018-08-22
0001670254-18-000399	2	Judd Hollas	CFO	2018-08-22
0001665160-18-000860	1	Michael Licamele	CEO, Principal Executive Officer and Sole Director, Principal Financial Officer and Principal Accounting Officer	2018-08-28
0001665160-18-000859	1	Charles S. Cotropia	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-28
0001665160-18-000858	1	Avi Bernard	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-08-28
0001665160-18-000856	1	Waldemar F. Kissel Jr.	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-08-27
0001750975-18-000001	1	Victor Harvey	CEO	2018-08-27
