ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-19-001254	1	Maya Parbhoe	CEO, Principal Executive Officer and Director	2019-12-30
0001665160-19-001254	2	Zeenat William	Principal Financial Officer and Principal Accounting Officer	2019-12-30
0001768621-19-000004	1	Kate Redman	Project Director	2019-12-30
0001768621-19-000004	2	Richard Anderson	Director	2019-12-30
0001768621-19-000004	3	Chris Treter	Director	2019-12-30
0001771075-19-000004	3	Timothy Smith	Production Manager	2019-12-30
0001771075-19-000004	2	Andy Jorgenson	CFO	2019-12-30
0001771075-19-000004	1	Steve Conlin	CEO	2019-12-30
0001665160-19-001253	1	Scott Bahneman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-30
0001658754-19-000003	1	Rafael Urbina	Director	2019-12-27
0001658754-19-000003	2	Manny Borges	Director	2019-12-27
0001666102-19-000033	1	Aaron K Gilbert	President & CEO	2019-12-30
0001769091-19-000003	1	/s/Todayashi Henry Yoshida	Director, Chief Executive Officer	2019-12-27
0001769091-19-000003	2	/s/Todayashi Henry Yoshida	Director, Chief Executive Officer	2019-12-27
0001769091-19-000003	3	/s/Chris Palmisano	Director, Chief Revenue Officer, Chief Operating Officer	2019-12-27
0001746059-19-000108	1	Elizabeth Castellana	Owner and Founder	2019-12-27
0001746059-19-000107	1	Elizabeth Castellana	Owner and Founder	2019-12-27
0001789922-19-000005	2	Justin Silver	CFO, Director	2019-12-27
0001789922-19-000005	1	Rooshy Roychoudhury	CEO, Director	2019-12-27
0001797650-19-000001	1	Arjun Rai	President, Director	2019-12-26
0001691657-19-000001	2	/s/ Michael Y Chow	Director	2019-12-26
0001691657-19-000001	1	/s/ Ajay Kishore	CEO, Director	2019-12-26
0001796599-19-000001	1	/s/ Jewel Zimmer	CEO, Director	2019-12-26
0001691657-19-000001	3	/s/ Bernie Su	Director	2019-12-26
0001792754-19-000003	1	Ethan Winner	Chief Executive Officer	2019-12-26
0001716822-19-000001	1	/s/ Richard Bronson	CEO, Director	2019-12-26
0001753336-19-000003	1	Lynda McLean Ronaldson	Director	2019-12-26
0001753336-19-000003	2	Stephen Warne Ardagh	Treasurer, Director	2019-12-26
0001767357-19-000006	1	Kevin Henretta	Chief Technology Officer	2019-12-26
0001749553-19-000004	1	Kai Nortey	Member	2019-12-26
0001749553-19-000004	2	Ernest Nee-Nueh Nortey	Member	2019-12-26
0001666102-19-000030	1	Jay Noland	CEO	2019-12-26
0001788590-19-000004	2	Shivaprakash Bidlur	principal financial officer, board member	2019-12-26
0001788590-19-000004	1	Harish Prasanna	principal executive officer, controller, board member	2019-12-26
0001788590-19-000003	1	Raymond Li	principal executive officer, principal financial officer, controller, board of directors	2019-12-26
0001788590-19-000003	2	Mark Zheng	Chief Growth Officer	2019-12-26
0001786082-19-000002	1	Jen Ferrone	Owner	2019-12-26
0001765975-19-000007	1	David Brendan Murphy	Manager	2019-12-23
0001765975-19-000007	2	Amos Lonnie Schiller	Manager	2019-12-23
0001790509-19-000005	1	David Lidz	Manager and Sole Member	2019-12-20
0001670254-19-000730	1	Aaron Olson	Co-Founder/CEO	2019-12-19
0001670254-19-000733	1	Archil Cheishvili	CEO	2019-12-19
0001670254-19-000728	1	Arti Kapoor	Board member	2019-12-19
0001670254-19-000728	2	Sajal Sahay	CEO	2019-12-19
0001670254-19-000728	3	Jeffrey Schvimer	Chief Financial Officer	2019-12-19
0001670254-19-000728	4	Asheesh Barman	Co-Founder, President, & COO	2019-12-19
0001670254-19-000730	2	Mehrdad Arjmand	Co-Founder/CEO	2019-12-19
0001670254-19-000725	1	Andres Arsaya	Managing Member	2019-12-19
0001665160-19-001251	1	Zane Lamprey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-23
0001665160-19-001250	1	Alexander Shkolnik	CEO	2019-12-23
0001665160-19-001250	2	Nikolay Shkolnik	CTO, VP of R&D, Board Member	2019-12-23
0001665160-19-001250	3	Per A. Suneby	Director	2019-12-23
0001665160-19-001249	1	Alexander Shkolnik	President	2019-12-23
0001665160-19-001249	3	Per A. Suneby	Director	2019-12-23
0001665160-19-001249	2	Nikolay Shkolnik	VP, CTO	2019-12-23
0001786104-19-000004	1	Zak Laikin	Manager of Profit Property USA LLC, its Manager	2019-12-23
0001787645-19-000005	1	/s/ Sagar Babber	CEO	2019-12-23
0001791747-19-000002	1	Obi Onyejekwe	CEO	2019-12-23
0001767762-19-000001	2	/s/ Deniz Dalkilic	CTO, Director	2019-12-23
0001767762-19-000001	1	/s/ Angelo Adam	CEO, Principal Financial/Accounting Officer,Director	2019-12-23
0001666102-19-000029	1	Nathan Zeleznick	Chairman/Chief Executive Officer	2019-12-23
0001793460-19-000004	1	Sean Peace	CEO	2019-12-20
0001796295-19-000001	1	Noelle Randall	CEO	2019-12-20
0001665160-19-001248	1	Kyle Flanagan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-20
0001665160-19-001245	1	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-20
0001796828-19-000002	1	Christopher Senegal	Christopher Senegal	2019-12-20
0001785176-19-000002	1	/s/ Sumaya Lakis	CEO, Board Chair	2019-12-20
0001746059-19-000105	1	James Van Sicklen	Owner and Founder	2019-12-20
0001665160-19-001243	1	Ray Phillips	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-20
0001669191-19-000424	7	Thomas Humphries	Board Member	2019-12-20
0001669191-19-000424	6	Bob Oliver	Board Member	2019-12-20
0001669191-19-000424	5	James Harris	Board Member	2019-12-20
0001669191-19-000424	4	Nikolaos Tezapsidis	Board Member	2019-12-20
0001669191-19-000424	3	James Harris	Principal Accounting Officer	2019-12-20
0001669191-19-000424	2	James Harris	Principal Financial Officer	2019-12-20
0001669191-19-000424	1	Nikolaos Tezapsidis	Principal Executive Officer	2019-12-20
0001669191-19-000424	8	George Perry	Board Member	2019-12-20
0001670254-19-000720	2	Kristin Parker	CFO & Co-CEO	2019-12-19
0001670254-19-000720	1	Patrick Glanville	CEO & President	2019-12-19
0001665160-19-001237	1	Kyle Flanagan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001665160-19-001240	2	Chantz Usery	Director and Principal Accounting Officer	2019-12-19
0001665160-19-001235	1	Brad Malin	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001665160-19-001240	1	Deborah Fiorentino	CEO, Principal Executive Officer and Director, Principal Financial Officer and Director	2019-12-19
0001665160-19-001233	1	Max Weissberg	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001774152-19-000006	2	/s/Peiying Wang	Director	2019-12-19
0001774152-19-000006	1	/s/Jiannan Zhang	Director, Chief Executive Officer, and Secretary	2019-12-19
0001774152-19-000006	3	/s/Hanchao Yue	Director	2019-12-19
0001774242-19-000005	1	Lian Pham	Member of the General Partner	2019-12-06
0001774242-19-000005	2	Lam Mai	Member of the General Partner	2019-12-06
0001665160-19-001229	1	Brody Shemansky	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001777935-19-000002	1	Marcus Davis	President	2019-12-19
0001777935-19-000002	2	Melvinie Davis	Chief Financial Officer	2019-12-19
0001753336-19-000002	2	Stephen Warne Ardagh	Treasurer, Director	2019-12-08
0001753336-19-000002	1	Lynda McLean Ronaldson	Director	2019-12-08
0001665160-19-001224	1	Andy Pandharikar	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001743601-19-000005	1	Darren V. Walker	CEO	2019-12-19
0001665160-19-001222	1	John Chappell	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001665160-19-001222	2	Javier Martinez	Director	2019-12-19
0001665160-19-001220	1	Paul Van Kleef	CEO Principal Executive Officer and Chairman of the Board of Directors	2019-12-19
0001665160-19-001220	2	Alex Nunez	Principal Financial Officer, Principal Accounting Officer, and Director	2019-12-19
0001665160-19-001219	1	Keith Veltre	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001665160-19-001218	2	Javier Martinez	Director	2019-12-19
0001665160-19-001218	1	John Chappell	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-19
0001789878-19-000002	3	Eric Hester	Vice President	2019-12-19
0001789878-19-000002	1	Logan Beck	President	2019-12-19
0001789878-19-000002	2	Lauren Ferrante	Vice President	2019-12-19
0001789878-19-000002	4	Troy Stanley	Vice President	2019-12-19
0001783015-19-000003	1	/s/Kerem Ozkan	Director	2019-12-19
0001783015-19-000003	2	/s/Nazim Deniz Kalashoglu	Director	2019-12-19
0001783015-19-000002	1	/s/Nazim Deniz Kalashoglu	Director	2019-12-19
0001783015-19-000002	2	/s/Kerem Ozkan	Director	2019-12-19
0001665160-19-001214	1	John Chappell	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-18
0001665160-19-001214	2	Javier Martinez	Director	2019-12-18
0001790092-19-000004	1	/s/ Marco Antonio Trujillo Tejada	Director, CEO	2019-12-18
0001778006-19-000005	1	Michael Peterson	Founder	2019-12-18
0001665160-19-001209	1	Scott Bahneman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-18
0001665160-19-001207	2	Martin Conlon	Director	2019-12-18
0001665160-19-001207	1	Allan Grosvenor	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2019-12-18
0001786494-19-000006	1	Keyla Cook	Co-Owner	2019-12-18
0001790092-19-000001	1	/s/ Angelo Adam	Director, CEO, Principal Financial/Accounting Officer	2019-12-17
0001792640-19-000002	1	Jonathan Macri by Sean Fuellhart POA	CEO	2019-12-17
0001749553-19-000003	2	Ernest Nee-Nueh Nortey	Member	2019-12-11
0001790092-19-000002	2	Fernando Albertorio	Director, CTO	2019-12-17
0001790092-19-000002	1	Marco Antonio Trujillo Tejada	Director, CEO	2019-12-17
0001749553-19-000003	1	Kai Nortey	Member	2019-12-04
0001796828-19-000001	1	Christopher Senegal	President/CEO	2019-12-17
0001665160-19-001205	2	Tyler Smith	Vice President	2019-12-17
0001665160-19-001205	1	Ryan Pirkle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-17
0001670254-19-000718	1	Alex Bayer	CEO/Founder	2019-12-13
0001665160-19-001202	1	Andrew Ochoa	CEO, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer	2019-12-17
0001746059-19-000103	1	John Malanka	Owner and Founder	2019-12-17
0001694455-19-000003	1	/s/ Carl Christensen	Interim Chief Executive Officer	2019-12-17
0001665160-19-001200	1	Scott Donoho	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-17
0001791711-19-000003	1	Karl Horn	Owner	2019-12-17
0001670254-19-000715	1	Harry Keith Rushing	CFO	2019-12-13
0001670254-19-000715	2	Nathan VonMinden	Managing member	2019-12-13
0001581437-19-000008	1	H. Jacob Hanchar	Chief Executive Officer, Managing Member	2019-12-16
0001635417-19-000005	1	Ravid Razak	CEO	2019-12-16
0001665160-19-001197	2	Nancy Cass	Director	2019-12-16
0001665160-19-001197	1	MerchantCass Advisors, LLC	resident, Principal Executive Officer, and COO	2019-12-16
0001665160-19-001197	4	Aslam S Merchant	Chairman of the Board	2019-12-16
0001665160-19-001197	3	Cheryl H. Baker	Director, Principal Accounting Officer, and Controller	2019-12-16
0001746059-19-000102	1	Claudia Strobing	Owner and Founder	2019-12-16
0001665160-19-001194	1	Robert LaBelle	CEO, Principal Executive Officer and Director	2019-12-16
0001665160-19-001194	2	Andrew Woglom	Principal Financial Officer and Principal Accounting Officer	2019-12-16
0001746059-19-000101	2	Jeffrey Wetzel	Owner and CoFounder	2019-12-16
0001746059-19-000101	1	Ian McGregor	Owner and CoFounder	2019-12-16
0001746059-19-000100	1	Ugur Yilmaz	Owner and Founder	2019-12-16
0001794484-19-000008	1	/s/ Manuela Seve	Chief Executive Officer, Director, Chairman of the Board and President	2019-12-13
0001794484-19-000008	2	/s/ Renata Thome	Chief Operating Officer, Director, Treasurer and Secretary	2019-12-13
0001709915-19-000001	1	Tadeusz Kolodziejczyk	principal executive officer, principal financial officer, principal accounting officer and director	2019-12-13
0001709915-19-000001	2	Joanne Carter	CMO	2019-12-13
0001795839-19-000001	1	Mary Gonzales	Co-Owner	2019-12-13
0001780122-19-000006	1	/s/Daniel Uribe	Chief Executive Officer, President, Secretary	2019-12-13
0001780122-19-000006	2	/s/Everardo Barojas	Chief Financial Officer, Treasurer	2019-12-13
0001665160-19-001188	1	Chris Bradley	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-13
0001746059-19-000099	1	Keisha Greaves	Owner and Founder	2019-12-13
0001775091-19-000008	1	Willard L. Jackson Jr., by Sean Fuellhart POA	CEO	2019-12-13
0001669191-19-000422	4	Valerie  Canova	Board Member	2019-12-13
0001669191-19-000422	1	James Canova	Principal Executive Officer	2019-12-13
0001669191-19-000422	2	Valerie  Canova	Principal Financial Officer	2019-12-13
0001669191-19-000422	3	Valerie  Canova	Principal Accounting Officer	2019-12-13
0001669191-19-000422	5	James Canova	Board Member	2019-12-13
0001780122-19-000004	1	/s/Daniel Uribe	Chief Executive Officer, President, Secretary	2019-12-13
0001780122-19-000004	2	/s/Everardo Barojas	Chief Financial Officer, Treasurer	2019-12-13
0001794484-19-000007	2	Renata Thome	Chief Operating Officer, Director, Treasurer and Secretary	2019-12-13
0001794484-19-000007	1	Manuela Seve	Chief Executive Officer, Director, Chairman of the Board and President	2019-12-13
0001794484-19-000006	1	Manuela Seve	Chief Executive Officer, Director, Chairman of the Board and President	2019-12-13
0001794484-19-000006	2	Renata Thome	Chief Operating Officer, Director, Treasurer and Secretary	2019-12-13
0001794484-19-000005	1	Manuela Seve	Chief Executive Officer, Director, Chairman of the Board and President	2019-12-13
0001794484-19-000005	2	Renata Thome	Chief Operating Officer, Director, Treasurer and Secretary	2019-12-13
0001780122-19-000003	2	/s/Everardo Barojas	Chief Financial Officer, Treasurer	2019-12-13
0001780122-19-000003	1	/s/Daniel Uribe	Chief Executive Officer, President, Secretary	2019-12-13
0001783556-19-000008	1	/s/ Terry Jones	Chief Executive Officer	2019-12-12
0001790895-19-000002	1	Shubhankar Basu	CTO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-12
0001790895-19-000002	2	Samuel Mansen	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-12
0001739714-19-000002	1	Anne Chambers	CEO	2019-12-12
0001665160-19-001186	1	Wayne Allyn Root	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-12
0001788935-19-000005	1	/s/ David Schacter	Founder / CEO	2019-12-12
0001786094-19-000005	1	/s/ Craig Calderone	CEO	2019-12-12
0001784785-19-000005	1	/s/ Randall C. Huntsinger	CEO	2019-12-12
0001665160-19-001183	1	Aja Atwood	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2019-12-12
0001665160-19-001182	2	Timothy A. Hylas	Principal Financial Officer and Principal Accounting Officer	2019-12-12
0001665160-19-001182	1	Chris Outwater	CEO, Principal Executive Officer and Director	2019-12-12
0001746059-19-000098	1	Jacqueline Field	Owner and Founder	2019-12-12
0001670254-19-000713	6	Bud Noffsinger	Chief Executive Officer / Director	2019-12-10
0001670254-19-000713	4	Kenneth Michael Montera	Board Director	2019-12-10
0001670254-19-000713	3	Sean Hopkins	Board Member	2019-12-10
0001670254-19-000713	2	Ray McElhaney	Director	2019-12-10
0001670254-19-000713	1	NicoleWatkins	Director	2019-12-11
0001670254-19-000713	5	Matthew Lauer	VP Finance/Officer	2019-12-10
0001670254-19-000710	1	Allan Forsey	Treasurer and Secretary	2019-12-06
0001670254-19-000710	2	Danny Robinson	Founder & CEO of Hoop Tea	2019-12-06
0001746059-19-000097	1	Coco Cabuquit-Love	Owner	2019-12-11
0001783128-19-000002	2	Lance Mojaver	CTO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-11
0001783128-19-000002	1	Michael Mojaver	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-11
0001665160-19-001181	1	Fathi Abdelsalam	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Office	2019-12-11
0001465818-19-000037	1	Carol Barash	Manager & CEO	2019-12-11
0001465818-19-000037	3	Todd Padgett	Manager	2019-12-11
0001465818-19-000037	2	John Scotti	Manager	2019-12-11
0001774858-19-000006	1	Anthony Livadas	COO	2019-12-11
0001746059-19-000096	2	Marcie Taylor	Owner and CoFounder	2019-12-11
0001746059-19-000096	1	Alexander Pichardo	Owner and CoFounder	2019-12-11
0001746059-19-000095	1	John Cox	Owner and Founder	2019-12-11
0001793460-19-000002	1	Sean Peace	CEO	2019-12-11
0001465818-19-000035	2	John Scotti	Manager	2019-12-10
0001465818-19-000035	3	Todd Padgett	Manager	2019-12-10
0001665160-19-001179	1	JD Claridge	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-10
0001746059-19-000093	1	Ugur Yilmaz	Owner and Founder	2019-12-10
0001465818-19-000035	1	Carol Barash, PhD	Manager & CEO	2019-12-10
0001746059-19-000091	1	Zulema Mejia	Owner and CoFounder	2019-12-10
0001746059-19-000091	2	Oscar Penas	Owner and CoFounder	2019-12-10
0001793868-19-000003	1	Jennifer Ferone	Owner	2019-12-10
0001793868-19-000002	1	Nicholas Weiss	Co-Owner	2019-12-10
0001665160-19-001177	1	David Allred	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-10
0001665160-19-001176	1	Andrew Yakub	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-10
0001733855-19-000004	3	Ethan Joffe	CTO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-10
0001733855-19-000004	2	Nicolas Giancola	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-10
0001733855-19-000004	1	James Jordan	Director, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-12-10
0001666102-19-000027	1	Sukhbat Lkhagvadorj	CFO	2019-12-10
0001669191-19-000418	5	Amro Eltayeb	Board Member	2019-12-09
0001790674-19-000002	3	/s/ Juan Felipe Yee de Leon	Chief Operating Officer and Director	2019-12-09
0001665160-19-001174	1	Mark Hanchett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-09
0001665160-19-001175	1	Mark Hanchett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-09
0001669191-19-000420	2	Stephon McCoy	Principal Financial Officer	2019-12-09
0001669191-19-000420	3	Stephon McCoy	Principal Accounting Officer	2019-12-09
0001790674-19-000002	1	/s/Liza Paola Velarde Calvillo	Chief Executive Officer and Director	2019-12-09
0001790674-19-000002	2	/s/ Alejandro Abarca Blanco	Chief Technology Officer and Director	2019-12-09
0001669191-19-000418	4	Melvin Du	Board Member	2019-12-09
0001669191-19-000418	3	Melvin Du	Principal Accounting Officer	2019-12-09
0001669191-19-000418	2	Melvin Du	Principal Financial Officer	2019-12-09
0001669191-19-000418	1	Melvin Du	Principal Executive Officer	2019-12-09
0001795615-19-000001	1	tariq khan	ceo/founder	2019-12-09
0001665160-19-001173	1	Mark Hanchett	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-09
0001669191-19-000420	1	Stephon McCoy	Principal Executive Officer	2019-12-09
0001669191-19-000416	1	Kimberly Nguyen	Principal Executive Officer	2019-12-09
0001669191-19-000416	2	Kimberly Nguyen	Principal Financial Officer	2019-12-09
0001669191-19-000416	3	Kimberly Nguyen	Principal Accounting Officer	2019-12-09
0001669191-19-000416	4	Steve Nguyen	Board Member	2019-12-09
0001669191-19-000416	5	Tiffany Nguyen	Board Member	2019-12-09
0001669191-19-000416	6	Kimberly Nguyen	Board Member	2019-12-09
0001669191-19-000414	3	Claude Harris	Principal Accounting Officer	2019-12-09
0001669191-19-000414	2	Claude Harris	Principal Financial Officer	2019-12-09
0001669191-19-000414	1	Claude Harris	Principal Executive Officer	2019-12-09
0001669191-19-000414	4	Claude Harris	Board Member	2019-12-09
0001746059-19-000090	2	Robert Curry	Owner and CoFounder	2019-12-09
0001746059-19-000090	1	Kyle Davis	Owner and CoFounder	2019-12-09
0001785021-19-000002	1	Todd Bayer	Managing Member	2019-12-09
0001785021-19-000002	2	Stephen McKee	Managing Member	2019-12-09
0001702371-19-000003	1	Ryan Allis	Director	2019-12-09
0001730486-19-000003	1	Marc Schrobilgen	Chief Exective Officer	2019-12-09
0001783268-19-000003	1	Monica Grays	Owner	2019-12-09
0001670254-19-000703	1	Christine Weatherup Enlow	Director	2019-12-06
0001670254-19-000703	3	Matt Enlow	Producer	2019-12-06
0001670254-19-000707	4	Mari Walker	Director/Co-Writer	2019-11-27
0001670254-19-000703	2	Beatriz Chahin	Producer	2019-12-06
0001670254-19-000707	1	Mia Schulman	Producer	2019-11-28
0001670254-19-000707	2	Matt Miller	Producer	2019-11-27
0001670254-19-000707	3	Kristen Uno	Managing Member/Secretary	2019-11-27
0001665160-19-001170	1	Diana Sabacinski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-06
0001670254-19-000700	1	Abby Verma	Founder	2019-12-06
0001665160-19-001168	1	Brian Gale	CEO, Principal Executive Officer and Director	2019-12-06
0001665160-19-001168	3	Cynthia P. Baron	Principal Financial Officer and Principal Accounting Officer	2019-12-06
0001665160-19-001168	2	Edgar D. McKean III	Director	2019-12-06
0001702371-19-000002	1	Ryan Allis	Director	2019-12-06
0001706939-19-000007	1	Peter Gantner	CEO	2019-12-06
0001665160-19-001167	1	John R. Humphrey	CEO and Founder, Principal Executive and Director	2019-12-06
0001665160-19-001167	2	Scott Marchard	CFO and Principal Financial Officer and Principal Accounting Officer	2019-12-06
0001791343-19-000005	1	Donald Mahaney	Co-Owner	2019-12-06
0001791343-19-000004	1	Michael Killik	Owner	2019-12-06
0001666102-19-000026	1	September Dohrmann	CEO	2019-12-06
0001665160-19-001165	1	McCoy Moretz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-05
0001730486-19-000001	1	Marc Schrobilgen	Chief Exective Officer	2019-12-05
0001665160-19-001163	3	Edward Giardina	Principal Financial Officer, Principal Accounting Officer, and Director	2019-12-05
0001665160-19-001163	2	Linda D. Michonski	Director	2019-12-05
0001665160-19-001163	1	David M. Michonski	CEO, Principal Executive Officer, and Director	2019-12-05
0001665160-19-001162	1	Jeff Tacy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-05
0001665160-19-001161	1	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-05
0001746059-19-000088	1	Courtney McKamey	Owner and CEO	2019-12-05
0001665160-19-001160	1	Grayson M. Laird	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-05
0001791847-19-000001	2	/s/ Jeremiah Calvino	Director	2019-12-05
0001791847-19-000001	1	/s/ Benjamin Camp	CEO, Director	2019-12-05
0001746059-19-000087	1	Biplaw Rai	Owner and CoFounder	2019-12-05
0001746059-19-000087	2	Nyacko Perry	Owner and CoFounder	2019-12-05
0001746059-19-000087	3	Kwasi Kwaa	Chef Partner	2019-12-05
0001786082-19-000001	1	Jennifer Ferone	Owner	2019-12-05
0001104659-19-070041	2	/s/ Ronald Miller	Director and Chairman	2019-12-05
0001104659-19-070041	1	/s/ Howard Marks	Chief Executive Officer, Chief Financial Officer, Chief Accounting Officer and Director	2019-12-05
0001774152-19-000005	3	/s/Hanchao Yue	Director	2019-12-04
0001774152-19-000005	1	/s/Jiannan Zhang	Director, Chief Executive Officer, and Secretary	2019-12-04
0001670254-19-000696	1	Chinnakrit Soonthornwan	Producer	2019-11-25
0001670254-19-000696	2	Thomas Macias	Director	2019-11-25
0001670254-19-000696	3	Woraprat Attasawat	Producer	2019-11-25
0001670254-19-000696	4	Stephanie Botelho	Producer	2019-11-25
0001774152-19-000005	2	/s/Peiying Wang	Director	2019-12-04
0001665160-19-001158	1	Kirsten Nelson	CEO, Principal Executive Officer, and Director	2019-12-04
0001665160-19-001158	2	Oren Schindler	Principal Financial Officer and Principal Accounting Officer and Director	2019-12-04
0001795349-19-000001	3	/s/ John Kauffman	Test Model Platform Lead & Director	2019-12-04
0001795349-19-000001	1	/s/ Timothy Murray	Interim CEO and Director	2019-12-04
0001795349-19-000001	2	/s/ Jay Tetzloff	Head of Analytics & Director	2019-12-04
0001787138-19-000004	1	/s/ Jonathan Schultz	Founder / CEO	2019-12-04
0001727744-19-000001	1	Paul Hardersen	CEO	2019-12-03
0001788657-19-000003	1	Eric Dsrst	CEO	2019-12-03
0001670254-19-000694	2	David Beylin	Director	2019-11-26
0001670254-19-000694	3	Irving Weinberg	Founder/Secretary	2019-11-26
0001665160-19-001155	1	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-02
0001665160-19-001157	2	Deborah Beardsley	Principal Financial Officer, Principal Accounting Officer and Director	2019-12-02
