ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001665160-18-000630	6 percent	N/A	Other	Series CF Preferred Stock	12500	0.8	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-09-27	7	508690.65	128170.2	330805.60000000003	7110.72	0	-826.61	0	0	1965331	390600	44026.93	2215.92	2882	504.31	57	0	-1197760.27	-286473.25
0001665160-18-000628	6 percent	N/A	Other	Class B Non-Voting Membership Units	20	500.0	N/A	10000.0	Y	Other	At issuer's discretion	425000.0	2018-06-21	1	5449	0	5449	0	0	0	0	0	0	0	0	0	0	0	0	0	-36051	0
0001665160-18-000627	6 percent	N/A	Other	Convertible Note	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	683234.0	2018-09-03	4	183622	1195	183622	1195	0	0	45285	32154	386766	0	0	0	0	0	0	0	-217470	-95511
0001669191-18-000328	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		2858	3.5	At issuer's discretion	10003.0	Y	First-come, first-served basis		1069999.0	2018-07-31	24	1081758	703984	47589	133237	51873	90625	111736	379357	0	48189	7921690	6396944	6725381	5630951	0	0	310268	39562
0001669191-18-000326	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		6667	1.5	At issuer's discretion.	10000.5	Y	First-come, first-served basis		1069999.5	2018-07-31	8	591311	627836	37469	91340	0	0	0	0	0	0	922151	1043214	507583	373683	0	0	-143160	-253351
0001745081-18-000001	6% of the closing amount raised + pass-through and registration fees	n/a	Other	Revenue Share	40	500.0	Minimum investment is $500.00, as determined by the issuer	20000.0	Y	First-come, first-served basis		50000.0	2018-12-23	0	12500	0	12500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001669191-18-000324	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		58824	0.17	Issuer determined by its own comparative analysis.	10000.08	Y	First-come, first-served basis		106248.47	2018-07-06	2	20896	23397	5896	8397	0	0	0	0	0	0	44072	40715	35475	32519	0	94	5896	796
0001669191-18-000322	Up to 4.9% of amount raised for a successful offering	None.	Other	Units	8929	1.12	Based on investor interest and issuers discretion.	10000.48	Y	First-come, first-served basis		106999.2	2018-08-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000626	6 percent	N/A	Other	Convertible Note	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-06-26	1	16000	0	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000624	6 percent	N/A	Other	Class B Units	1111	9.0	N/A	9999.0	Y	Other	At issuer's discretion	1069992.0	2018-09-28	10	22470	0	19875	0	2595	0	0	0	0	0	2595	0	0	0	0	0	-23085	0
0001665160-18-000622	6 percent	N/A	Common Stock		5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-08-30	3	5553	0	3690	0	0	0	0	0	0	0	0	0	0	0	0	0	24630	0
0001665160-18-000620	6 percent	N/A	Other	Units	1000	10.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-09-25	3	136450	92361	24163	0	0	0	23385	23331	0	0	0	0	0	0	0	0	-42415	-90229
0001670254-18-000326	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	50000.0	Y	Other	As determined by the issuer	107000.0	2018-11-23	7	246210.38	222775	9474.26	7555	73252.74	51737	2685.82	30744	0.63	0	316574.47000000003	238110.4	0	110816.83	0	0	-7468.9800000000005	-64582.82
0001744818-18-000001	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Debt				Determined in conjunction with a broker-dealer.	25000.0	Y	First-come, first-served basis		1070000.0	2018-08-31	4	388974	703560	332577	649980	20317	23103	615869	566420	60000	60000	465172	489887	0	0	0	0	-364035	-147055
0001722197-18-000005	7 percent	N/A	Other	DUSTO (debt until security token offering)	57	175.0	N/A	10000.0	Y	Other	At issuer's discretion	575000.0	2018-09-30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001653582-18-000002	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold, of the same type of securities offered, as specified below.	Debt				Determined in conjunction with a broker-dealer.	25000.0	Y	First-come, first-served basis		1070000.0	2018-08-17	6	1022332	569443	694701	342154	0	0	719701	367154	0	0	125392	113225	0	0	0	0	-527831	-527831
0001731189-18-000005	5% of total raised	None	Common Stock		1000	1.0		1000.0	Y	First-come, first-served basis		600000.0	2018-08-31	0	230000	0	230000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001731189-18-000004	5% of total raised	None	Common Stock		1000	1.0		1000.0	Y	First-come, first-served basis		600000.0	2018-08-31	0	230000	0	230000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001739408-18-000003	2.0% of total offering upon a successful fundraise + 2.85% transaction costs per investment (capped at $21.76).	No	Debt			1.0	Pro-rated portion of the total principal value of $50,000.	30000.0	Y	First-come, first-served basis		50000.0	2018-06-21	4	27530	15556	292	1145	0	0	34664	32368	0	0	231409	119942	229986	154719	0	0	-34777	1423
0001665160-18-000617	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion and to the updated maximum of $1,070,000.00	1000000.0	2017-11-03	11	400496	207224	233640	74956	4138	7797	55369	840590	0	0	708820	541696	313314	298469	15652	6191	-534910	-378560
0001665160-18-000618	6 percent	N/A	Other	Non-Voting Class B Units	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-09-25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000615	6 percent	N/A	Other	Convertible Note	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-07-25	3	6388	15937	27	2447	0	382	10596	13836	2038	2018	10058.1	19575.74	8341	10610	0	0	-42436	-43389
0001740120-18-000004	2.0% of total offering plus 2.85% of investment (capped @ $21.76). The first $500 in fees collected (inclusive of 2.0% of total offering plus investment fee) will be paid to the Collateral Agent. The fees collected in surplus to be paid to intermediary.	No	Debt			1.0	Pro-rated portion of the total principal value of $50,000.	10000.0	Y	First-come, first-served basis		50000.0	2018-07-15	3	16902	16402	16902	16402	0	0	6900	5000	0	0	122721	85776	52081	22122	0	0	-1402	39639
0001693411-18-000002	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Debt				Determined in conjunction with a broker-dealer.	25000.0	Y	First-come, first-served basis		650000.0	2018-08-10	2	297694	79957	44031	30735	0	0	54115	3513	811842	257680	226299	0	-195766	0	0	0	-387026	-261402
0001669191-18-000320	Up to 4.9% of amount raised for a successful offering	None.	Other	Units	8929	1.12	Based on investor interest and issuers discretion.	10000.48	Y	First-come, first-served basis		106999.2	2018-08-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000613																																
0001665160-18-000611	6 percent	N/A	Other	Membership Units	1000	10.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-09-24	5	2520	2520	2520	2520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001739714-18-000001	Intermediary will be compensated 8% on the total fundraise	None	Other	Certifiably will issue a Simple Agreement for Future Equity. The first $10,000 of the subscribed will receive a 30% discount, while all incremental investments will only receive a 20% discount. Both of these discounts will be against a $1,500,000 val cap.	10000	1.0	Interests are sold in $1.00 increments and is convertible to a share of stock described in the attached SAFE agreement	10000.0	Y	Pro-rata basis		107000.0	2018-10-05	1	6238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001742134-18-000005	Standard payment processing fee of 2.9% plus $0.30 per donation allows for credit card processing and safe transfer of funds.	None	Other	Simple Agreement for Future Equity (Tokens)	500000	4.0	At the Discretion of Issuer	500000.0	Y	First-come, first-served basis		1070000.0	2019-05-31	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000609	8 percent	N/A	Other	Membership Units	20000	0.5	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-08-10	2	6089	6000	6089	6000	0	0	3036	677	0	0	262	0	0	0	0	0	-32872	-18029
0001738944-18-000006	The issuer shall pay to the intermediary at the conclusion of the offering a fee consisting of 7% commission based on the amount of investments raised in the offering and paid upon disbursement of funds from escrow at the time of closing.	The intermediary will receive a number of Crowd Notes of the issuer that is equal to two (2.0%) percent) of the total number of Crowd Notes sold by the issuer in the Offering.	Other	Crowd Note	25000	1.0		25000.0	Y	Other	At the Company's discretion	107000.0	2018-07-30	8	239251.46	190958.19	127950.46	107571.47	70267.2	40918.57	85101.86	30486.47	189812.81	135251.23	694505.15	552903.11	194878.08000000002	61159.78	0	0	-270034.5	102763.29000000001
0001744554-18-000001	1. The issuer shall pay the intermediary a fee equal to one percent (1%) of the gross amount raised. 2. The issuer shall pay or reimburse all reasonable out-of-pocket third party expenses incurred by the intermediary on behalf of the issuer.	No	Other	Membership Units	7500	20.0		150000.0	Y	First-come, first-served basis		1000000.0	2018-12-31	1	28753	30963	2926	2809	0	0	4603	6113	0	0	59995	37899	21632	16523	3729	2945	-8529	-14872
0001736304-18-000003	The issuer shall pay to the intermediary at the conclusion of the offering a fee consisting of 7.0% (seven percent) commission based on the amount of investments raised in the offering and paid upon disbursement of funds from escrow at the time of closing.	The intermediary will receive a number of Crowd Notes of the issuer that is equal to 2.0% (two percent) of the total number of Crowd Notes sold by the issuer in the Offering.	Other	Crowd Note	50000	1.0		50000.0	Y	Other	At the Company's discretion	500000.0	2018-07-16	5	206572	63161	21209	184	77400	0	393777	139193	0	0	114405	7400	181370	27575	0	0	-843673	-636157
0001670254-18-000324	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 1.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1070000.0	2018-12-21	1	6917	0	47	0	0	0	14672	0	0	0	0	0	0	0	0	0	-13755	0
0001665160-18-000606	10 percent	N/A	Common Stock		789	12.69	N/A	10012.41	Y	Other	At issuer's discretion	106989.39	2018-09-25	5	378.79	0	378.79	0	0	0	388.34000000000003	0	0	0	13902.36	984	7672.03	5357	0	0	-19014.46	-5629
0001735494-18-000005	Thrivera Ventures (dba Wunderfund) will receive an 8% success fee upon the completion of the target raise.	none	Debt			1.0	The first $10,000 of this offering that is subscribed will have a 15% APR repayment, while all incremental amounts raised up to the oversubscription amount will have a 11% APR over 12 months.	20000.0	Y	Pro-rata basis		76500.0	2018-07-09	3	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000604	6 percent	N/A	Other	Class B Non-Voting Common Stock	1000	10.0	N/A	10000.0	Y	Other	At issuer's discretion	800000.0	2018-08-24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001702784-18-000002														6	211356	5738	154466	738	51890	0	15917	19190	576819	10000	240805	276980	156839	140310	0	0	-304387	-2423
0001665160-18-000603	6 percent	N/A	Other	Series CF Preferred Stock	19230	0.52	N/A	9999.6	Y	Other	At issuer's discretion	999999.52	2018-08-14	14	1506061	1140409	346900	179012	0	12275	0	455152	2658529	0	3849646	2500306	2259531	1541664	0	0	-3287809	-2260910
0001665160-18-000598	6 percent	N/A	Debt			1.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-08-21	1	318830	0	149	0	2668	0	94137	0	350843	0	28425	0	-31251	0	0	0	-126860	0
0001665160-18-000599	6 percent	N/A	Other	Common Stock designated as Medex or MDX	500000	0.02	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-08-21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000602	8 percent	N/A	Common Stock		50000	0.2	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-08-22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-90000	0
0001665160-18-000601	6 percent	N/A	Other	Class B Common Stock	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-09-18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000597	6 percent	N/A	Common Stock		8928	1.12	N/A	9999.36	Y	Other	At issuer's discretion	106999.2	2018-08-20	5	10230.12	38692.43	7266.5	35977.16	0	0	255	0	5878.33	3878.33	24947.59	21487.2	35005.5	15930.42	-326	0	-63136.310000000005	-20742.82
0001670254-18-000322	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	50000.0	Y	Other	As determined by the issuer	107000.0	2018-12-14	3	119.29	144.29	119.29	144.29	0	0	32275	22195	0	0	0	600	2610	13276.5	0	0	-5015	-23628.28
0001670254-18-000323	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	100000.0	2018-06-30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001693411-18-000001	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Debt				Determined in conjunction with a broker-dealer.	25000.0	Y	First-come, first-served basis		650000.0	2018-08-10	2	297694	79957	44031	30735	0	0	54115	3513	811842	257680	226299	0	-195766	0	0	0	-387026	-261402
0001665160-18-000595	6 percent	N/A	Other	Class A Membership Units	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-08-22	3	275187	6275	32502	3775	0	0	20	14321	40050	44321	0	0	0	0	0	0	-92926	-79146
0001665160-18-000592	6 percent	N/A	Common Stock		5000	5.0	N/A	25000.0	Y	Other	At issuer's discretion up to the updated maximum of $1070000.00	1000000.0	2017-11-07	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001741753-18-000001	The issuer shall pay to the intermediary at the conclusion of the offering a fee consisting of seven percent (7.0%) commission based on the amount of investments raised in the Offering.	The intermediary will receive a number of Crowd Notes of the issuer that is equal to two percent (2.0%) of the total number of Securities sold by the issuer in the Offering.	Other	Crowd Note	50000	1.0		50000.0	Y	Other	At the Company's discretion	1070000.0	2018-08-20	0	743574	873672	84396	176286	113853	198377	128628	373690	25000	25000	1689008	1147413	866751	502496	25	14	114963	-48531
0001742065-18-000006	2.0% of total offering plus 2.85% of investment (capped @ $21.76). The first $500 in fees collected (inclusive of 2.0% of total offering plus investment fees) will be paid to the Collateral Agent. The fees collected in surplus to be paid to intermediary.	No	Debt			1.0	Pro-rated portion of the total principal of $35,000	10000.0	Y	First-come, first-served basis		35000.0	2018-06-20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001743808-18-000001	10.0% of the amount raised and $10,000.00		Other	Units of SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	Other	At the Company's discretion	1000000.0	2018-09-30	4	40000	30000	20000	10000	30000	0	5000	0	65000	75000	20000	15000	0	0	5000	3000	15000	10000
0001670254-18-000317	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	125000	1.0	Pro-rated portion of the total principal value of $125,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	125000.0	Y	Other	As determined by the issuer	1000000.0	2018-12-10	10	500	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001742118-18-000003	2.0% of total offering plus 2.85% of investment (capped @ $21.76)	No	Debt			1.0	Pro-rated portion of the total principal value of $10,000	9500.0	Y	First-come, first-served basis		10000.0	2018-06-28	1	37665	4350	700	350	0	0	0	0	0	0	36224	22237	16307	7065	0	0	7423	12432
0001670254-18-000318	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Preferred Stock		100000	0.58655	100,000 shares at $0.58655 per share	58655.0	Y	Other	As determined by the issuer	1070000.0	2018-06-30	8	521163	812888	456295	730102	0	0	8268	6544	0	0	3629	622	136688	14547	0	0	-1629449	-468634
0001670254-18-000320	2.5% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Preferred Stock		10700	10.0	Management believes the Company to be worth at least $80 million. With 10,700 authorized Series A preferred Stock for this round, each share is worth $10.	107000.0	Y	Other	As determined by the issuer	1070000.0	2018-06-30	11	1695126	1285957	630354	816840	90	0	1232879	10618	3247115	2594598	13538031	8515662	2995908	1821402	0	0	-1465699	-28575
0001670254-18-000321	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	107000.0	2018-06-30	13	3006	98483	3006	26931	0	0	0	966236	870040	29940	223042.83000000002	229975	194217	175080	0	0	-48924.96	-230245
0001669191-18-000316	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		5155	1.94	The valuation is based upon a prior offer from an independent investment group.	10000.7	Y	First-come, first-served basis		106998.76000000001	2018-10-01	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16370	-1750
0001739405-18-000002	NextSeed charges 10% of the total Offering Amount; provided NextSeed will only charge 5% of amount raised from investthat were introduced by the Issuer	None	Debt				Face value of the note	250000.0	Y	First-come, first-served basis		100000.0	2018-09-06	2	151039	1487	151039	1487	0	0	0	0	0	0	47404	28004	9840	3632	0	0	-7578	-5437
0001669191-18-000313	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		5989	1.67	Issuer used the Gust Launch valuation tool.	10001.630000000001	Y	First-come, first-served basis		106998.57	2018-07-21	1	1500	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	-59064	0
0001742230-18-000001	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Debt				Determined in conjunction with a broker-dealer.	25000.0	Y	First-come, first-served basis		1070000.0	2018-08-24	2	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	-4985	0
0001669191-18-000310	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		100	100.0	Based upon an assessment of our core market; total size and expected growth, comparable companies and their revenue structures and the target customer's average spend on goods, we believe our valuation is almost $4 million.	10000.0	Y	First-come, first-served basis		1070000.0	2018-08-14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-18-000315	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1070000.0	2018-12-14	9	240443	10689	240443	10689	0	0	31386	18500	1154240	189028	1000	0	0	0	0	0	-748599	-197884
0001739576-18-000003	6% of the amount raised	2% in the form of Securities being issues in this Offering	Debt			1.0	$1 per unit	100000.0	Y	First-come, first-served basis		1070000.0	2018-06-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001669191-18-000307	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		58824	0.17	Issuer determined by its own comparative analysis.	10000.08	Y	First-come, first-served basis		106248.47	2018-07-01	2	20896	23397	5896	8397	0	0	0	0	0	0	44072	40715	35475	32519	0	94	5896	796
0001665160-18-000587	6 percent	N/A	Common Stock		1000	10.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-09-19	1	2.89	0	2.89	0	0	0	0	0	0	0	0	0	0	0	0	0	-7166.400000000001	0
0001665160-18-000590	6 percent	N/A	Common Stock		13334	0.75	N/A	10000.5	Y	Other	At issuer's discretion	505074.0	2018-09-18	4	42422	258396	39172	250696	0	5000	138499	160222	119444	102778	784770	15562	763995	3666	0	0	-640268	-330828
0001739571-18-000003	NextSeed charges 10% of the Offering Amount; except NextSeed only charges 5% for investors referred by the Issuer.	None	Debt				Face value of the note	75000.0	Y	First-come, first-served basis		100000.0	2018-09-04	28	144429.67	117923.40000000001	-2051.53	-4749.25	77252.45	45364.15	207160.56	266587.78	38790.1	51000.96	1501387.97	968562.84	865966.11	555992.61	14885	1351	98155.35	19835.39
0001731158-18-000005	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Preferred Stock		287026	0.08710000000000001		25000.0	Y	First-come, first-served basis		1000000.0	2018-08-03	5	281860	375799	16060	210555	16861	0	431602	119459	1098384	932500	668508	154699	366080	121486	0	0	-598123	-352915
0001725941-18-000003	5.0% of the amount raised	2% of the Securities being issued in this Offering	Other	Crowd Safe	50000	1.0	Arbitrary	50000.0	Y	First-come, first-served basis		500000.0	2018-07-30	0	1957.49	1306.6100000000001	1957.49	1306.6100000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
